,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_TST1_C,RCC_TST1_R,RCC_TST1A_C,RCC_TST1A_R,RCC_TST1B_C,RCC_TST1B_R,RCC_TST2_C,RCC_TST2_R,RCC_TST2A_C,RCC_TST2A_R,RCC_TST2B_C,RCC_TST2B_R,RCC_TST3_C,RCC_TST3_R,RCC_ME11_C,RCC_ME11_R,RCC_ME15_C,RCC_ME15_R,RCC_ME21_C,RCC_ME21_R,RCC_ME31_C,RCC_ME31_R,RCC_ME6_C,RCC_ME6_R,RCC_PE6_C,RCC_PE6_R,RCC_PE11_C,RCC_PE11_R,RCC_PE15_C,RCC_PE15_R,RCC_PE21_C,RCC_PE21_R,RCC_PE31_C,RCC_PE31_R,RCC_TINA_C,RCC_TINA_R,RCC_N_C,D_OR_L,YEAR,MONTH
1,Boston Children's Hospital (MACH),MACH,TX1,2019-01-06 18:00:00,PA,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
2,UMass Memorial Medical Center (MAUM),MAUM,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
3,Georgetown University Medical Center (DCGU),DCGU,TX1,2019-01-06 18:00:00,PA,37.5,12.5,0,0,12.5,0,0,0,12.5,12.5,75,50,12.5,37.5,0,0,0,12.5,87.5,0,0,100,0,37.5,0,62.5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,D,2018,November
4,University of Maryland Medical System (MDUM),MDUM,TX1,2019-01-06 18:00:00,PA,0,0,0,7.1428571429,64.285714286,0,0,0,64.285714286,21.428571429,14.285714286,0,64.285714286,21.428571429,14.285714286,0,0,57.142857143,42.857142857,0,0,100,0,35.714285714,0,64.285714286,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,D,2018,November
5,Hackensack University Medical Center (NJHK),NJHK,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
6,UPMC Children's Hospital of Pittsburgh (PACH),PACH,TX1,2019-01-06 18:00:00,PA,50,25,25,0,0,0,0,0,100,0,0,75,25,0,0,0,0,50,50,0,0,100,0,75,0,25,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,D,2018,November
7,University of Pittsburgh Medical Center (PAPT),PAPT,TX1,2019-01-06 18:00:00,PA,0,0,0,66.666666667,33.333333333,0,0,0,100,0,0,0,0,0,33.333333333,66.666666667,0,33.333333333,66.666666667,0,0,100,0,66.666666667,0,33.333333333,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,D,2018,November
8,Thomas Jefferson University Hospital (PATJ),PATJ,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
9,Inova Fairfax Hospital (VAFH),VAFH,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,0,100,50,50,0,0,0,0,50,50,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
10,Jackson Memorial Hospital University of Miami School of Medicine (FLJM),FLJM,TX1,2019-01-06 18:00:00,PA,31.25,6.25,6.25,12.5,12.5,0,0,6.25,37.5,6.25,50,37.5,25,31.25,6.25,0,0,31.25,68.75,0,0,100,0,81.25,0,18.75,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,D,2018,November
11,Mayo Clinic Florida (FLSL),FLSL,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
12,Tampa General Hospital (FLTG),FLTG,TX1,2019-01-06 18:00:00,PA,0,0,0,100,0,0,0,0,100,0,0,50,50,0,0,0,0,100,0,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
13,Piedmont Hospital (GAPH),GAPH,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
14,Willis-Knighton Medical Center (LAWK),LAWK,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,50,0,50,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
15,OU Medical Center (OKMD),OKMD,TX1,2019-01-06 18:00:00,PA,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
16,Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS),TXAS,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
17,Methodist Specialty and Transplant Hospital (TXHS),TXHS,TX1,2019-01-06 18:00:00,PA,0,0,0,16.666666667,83.333333333,0,0,0,33.333333333,0,66.666666667,16.666666667,16.666666667,66.666666667,0,0,0,33.333333333,66.666666667,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,D,2018,November
18,Houston Methodist Hospital (TXMH),TXMH,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,0,0,100,50,0,50,0,0,0,50,50,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
19,Scott and White Memorial Hospital (TXSW),TXSW,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
20,Banner-University Medical Center Phoenix (AZGS),AZGS,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
21,Mayo Clinic Hospital (AZMC),AZMC,TX1,2019-01-06 18:00:00,PA,0,0,0,0,50,0,0,0,0,0,100,0,100,0,0,0,0,50,50,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
22,Banner University Medical Center-Tucson (AZUA),AZUA,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
23,Scripps Green Hospital (CAGH),CAGH,TX1,2019-01-06 18:00:00,PA,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
24,Loma Linda University Medical Center (CALL),CALL,TX1,2019-01-06 18:00:00,PA,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
25,California Pacific Medical Center (CAPM),CAPM,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,100,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
26,University of California San Francisco Medical Center (CASF),CASF,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
27,Sharp Memorial Hospital (CASH),CASH,TX1,2019-01-06 18:00:00,PA,0,0,0,0,50,0,0,0,0,50,50,50,50,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
28,St. Vincent Medical Center (CASV),CASV,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0,0,0,100,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
29,Intermountain Medical Center (UTLD),UTLD,TX1,2019-01-06 18:00:00,PA,0,0,0,100,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,D,2018,November
30,University of Utah Medical Center (UTMC),UTMC,TX1,2019-01-06 18:00:00,PA,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,100,0,0,0,100,0,100,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,D,2018,November
