ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2012/07/13 , Heart , 0 , 2 , 12 , 41 , 41 , 41 , 0 , 0 , 0 , 13 , 13 ,2012,7
Baptist Medical Center (ARBH) , ARBH , TX1 , 2012/07/13 , Heart , 0 , 2 , 10 , 21 , 21 , 32 ,   ,   ,   ,   ,   ,2012,7
Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2012/07/13 , Heart , 0 , 0 ,   , 3 , 3 ,   , 0 , 9 , 12 , 51 , 51 ,2012,7
UAMS Medical Center (ARUA) , ARUA , TX1 , 2012/07/13 , Heart ,   ,   , 0 ,   ,   , 1 ,   ,   ,   ,   ,   ,2012,7
Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2012/07/13 , Heart , 1 , 2 , 8 , 41 , 41 , 45 ,   ,   ,   ,   ,   ,2012,7
St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2012/07/13 , Heart ,   ,   ,   ,   ,   ,   , 0 , 0 ,   , 9 , 9 ,2012,7
"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2012/07/13 , Heart , 0 , 1 , 17 , 25 , 25 , 70 , 0 , 0 , 0 , 3 , 3 ,2012,7
Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2012/07/13 , Heart ,   ,   , 0 ,   ,   , 1 , 0 , 0 , 2 , 6 , 6 ,2012,7
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2012/07/13 , Heart , 7 , 11 , 15 , 135 , 135 , 83 ,   ,   ,   ,   ,   ,2012,7
Loma Linda University Medical Center (CALL) , CALL , TX1 , 2012/07/13 , Heart , 1 , 2 , 5 , 22 , 22 , 23 , 1 , 2 , 6 , 18 , 18 ,2012,7
Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2012/07/13 , Heart , 0 , 0 ,   , 1 , 1 ,   , 1 , 3 ,   , 34 , 34 ,2012,7
California Pacific Medical Center (CAPM) , CAPM , TX1 , 2012/07/13 , Heart , 1 , 4 , 4 , 32 , 32 , 13 ,   ,   ,   ,   ,   ,2012,7
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2012/07/13 , Heart , 0 , 1 , 1 , 8 , 8 , 3 ,   ,   ,   ,   ,   ,2012,7
University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2012/07/13 , Heart , 1 , 1 , 10 , 24 , 24 , 37 ,   ,   , 0 ,   ,   ,2012,7
Sutter Memorial Hospital (CASG) , CASG , TX1 , 2012/07/13 , Heart , 0 , 1 , 1 , 21 , 21 , 6 ,   ,   ,   ,   ,   ,2012,7
Sharp Memorial Hospital (CASH) , CASH , TX1 , 2012/07/13 , Heart , 0 , 0 , 7 , 28 , 28 , 33 , 0 , 0 ,   , 1 , 1 ,2012,7
Stanford University Medical Center (CASU) , CASU , TX1 , 2012/07/13 , Heart , 4 , 11 , 24 , 83 , 83 , 112 , 0 , 0 , 6 , 2 , 2 ,2012,7
University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2012/07/13 , Heart , 3 , 9 , 36 , 109 , 109 , 183 , 3 , 5 , 5 , 29 , 29 ,2012,7
Keck Hospital of USC (CAUH) , CAUH , TX1 , 2012/07/13 , Heart , 1 , 3 , 10 , 42 , 42 , 53 ,   ,   ,   ,   ,   ,2012,7
Children's Hospital Colorado (COCH) , COCH , TX1 , 2012/07/13 , Heart , 0 , 0 , 0 , 5 , 5 , 2 , 1 , 2 , 7 , 31 , 31 ,2012,7
University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2012/07/13 , Heart , 1 , 2 , 3 , 35 , 35 , 30 ,   ,   ,   ,   ,   ,2012,7
Hartford Hospital (CTHH) , CTHH , TX1 , 2012/07/13 , Heart , 0 , 4 , 8 , 38 , 38 , 26 ,   ,   ,   ,   ,   ,2012,7
Yale New Haven Hospital (CTYN) , CTYN , TX1 , 2012/07/13 , Heart , 0 , 0 , 6 , 24 , 24 , 24 ,   ,   ,   ,   ,   ,2012,7
Children's National Medical Center (DCCH) , DCCH , TX1 , 2012/07/13 , Heart ,   ,   ,   ,   ,   ,   ,   ,   , 1 ,   ,   ,2012,7
Washington Hospital Center (DCWH) , DCWH , TX1 , 2012/07/13 , Heart , 2 , 4 , 2 , 25 , 25 , 10 , 0 , 0 ,   , 1 , 1 ,2012,7
Alfred I DuPont Hospital for Children (DEAI) , DEAI , TX1 , 2012/07/13 , Heart ,   ,   ,   ,   ,   ,   , 0 , 0 , 1 , 5 , 5 ,2012,7
All Children's Hospital (FLAC) , FLAC , TX1 , 2012/07/13 , Heart ,   ,   , 0 ,   ,   , 1 , 0 , 0 , 5 , 19 , 19 ,2012,7
Memorial Regional Hospital/Joe DiMaggio Children's Hospital (FLJD) , FLJD , TX1 , 2012/07/13 , Heart ,   ,   ,   ,   ,   ,   , 0 , 0 ,   , 2 , 2 ,2012,7
Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2012/07/13 , Heart , 1 , 4 , 2 , 58 , 58 , 64 , 0 , 0 , 3 , 5 , 5 ,2012,7
Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2012/07/13 , Heart , 3 , 5 , 9 , 61 , 61 , 45 ,   ,   ,   ,   ,   ,2012,7
Tampa General Hospital (FLTG) , FLTG , TX1 , 2012/07/13 , Heart , 6 , 10 , 29 , 130 , 130 , 124 ,   ,   , 0 ,   ,   ,2012,7
Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2012/07/13 , Heart , 1 , 5 , 14 , 63 , 63 , 72 , 0 , 2 , 0 , 22 , 22 ,2012,7
Children's Healthcare of Atlanta at Egleston (GAEH) , GAEH , TX1 , 2012/07/13 , Heart ,   ,   , 2 ,   ,   , 2 , 2 , 3 , 5 , 38 , 38 ,2012,7
