ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of South Alabama Medical Center (ALAM) , ALAM , TX1 , 2012/07/13 , Kidney ,0,0, 6 ,0,0, 71.43 ,0,0, 79.36 ,0,0, 3.65 ,0,0, 21 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2012/07/13 , Kidney , 8 , 29 , 71 ,98.6,94.51, 89.23 , 97.73 , 93.56 , 85.37 , 13.18 , 35.44 , 99.89 , 573 , 573 , 659 , 0 , 3 , 6 , 100.00 , 93.02 , 97.75 , 94.89 , 84.43 , 1.21 , 2.56 , 7.12 , 53 , 53 ,2012,7
Baptist Medical Center (ARBH) , ARBH , TX1 , 2012/07/13 , Kidney , 3 , 8 , 18 ,96.51,90.7, 80.65 , 98.04 , 94.41 , 87.53 , 1.68 , 4.43 , 11.13 , 86 , 86 , 93 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2012/07/13 , Kidney , 0 , 0 ,0,100,100,0, 97.60 , 93.18 ,0, 0.05 , 0.14 ,0, 2 , 2 ,0, 0 , 1 , 2 , 100.00 , 94.44 , 97.85 , 95.18 , 84.86 , 0.42 , 0.93 , 2.48 , 19 , 19 ,2012,7
UAMS Medical Center (ARUA) , ARUA , TX1 , 2012/07/13 , Kidney , 3 , 6 , 30 ,97.86,95.45, 80.65 , 97.97 , 94.23 , 85.28 , 2.84 , 7.86 , 22.40 , 140 , 140 , 155 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Phoenix Children's Hospital (AZCH) , AZCH , TX1 , 2012/07/13 , Kidney , 0 , 0 ,0,100,100,0, 98.58 , 95.91 ,0, 0.03 , 0.08 ,0, 2 , 2 ,0, 0 , 0 , 0 , 100.00 , 100.00 , 98.05 , 95.36 , 89.09 , 0.26 , 0.59 , 3.02 , 13 , 13 ,2012,7
Banner Good Samaritan Medical Center (AZGS) , AZGS , TX1 , 2012/07/13 , Kidney , 4 , 15 , 27 ,98.42,93.73, 91.46 , 98.23 , 94.92 , 88.96 , 4.52 , 12.01 , 36.08 , 253 , 253 , 316 , 0 , 0 , 0 , 100.00 , 100.00 , 97.31 , 94.61 , 80.77 , 0.03 , 0.04 , 0.65 , 1 , 1 ,2012,7
Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2012/07/13 , Kidney , 7 , 22 , 45 ,98.5,94.52, 87.67 , 98.21 , 94.89 , 88.07 , 8.41 , 22.36 , 43.61 , 467 , 467 , 365 , 0 , 0 ,0, 100.00 , 100.00 , 98.23 , 96.43 ,0, 0.04 , 0.07 ,0, 2 , 2 ,2012,7
"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2012/07/13 , Kidney , 1 , 9 , 20 ,99.47,94.69, 86.01 , 97.56 , 93.09 , 85.44 , 4.62 , 12.17 , 21.70 , 187 , 187 , 143 , 0 , 0 , 0 , 100.00 , 100.00 , 97.55 , 94.76 , 83.39 , 0.12 , 0.26 , 0.55 , 5 , 5 ,2012,7
Rady Children's Hospital and Health Center (CACH) , CACH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 0 ,100,100, 100.00 , 98.71 , 96.27 , 89.22 , 0.10 , 0.27 , 0.46 , 8 , 8 , 4 , 0 , 0 , 2 , 100.00 , 100.00 , 97.58 , 95.06 , 86.77 , 0.47 , 0.93 , 2.44 , 19 , 19 ,2012,7
