ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
Children's of Alabama (ALCH),ALCH,TX1,2021-01-04 18:00:00,LI,,,,,,,1,1,4,14,14,2020,11
University of Alabama Hospital (ALUA),ALUA,TX1,2021-01-04 18:00:00,LI,13,20,41,284,284,292,,,,,,2020,11
UAMS Medical Center (ARUA),ARUA,TX1,2021-01-04 18:00:00,LI,1,4,8,91,91,78,,,,,,2020,11
Phoenix Children's Hospital (AZCH),AZCH,TX1,2021-01-04 18:00:00,LI,,,,,,,0,1,0,18,18,2020,11
Banner-University Medical Center Phoenix (AZGS),AZGS,TX1,2021-01-04 18:00:00,LI,10,29,28,284,284,154,,,,,,2020,11
Mayo Clinic Hospital (AZMC),AZMC,TX1,2021-01-04 18:00:00,LI,10,21,35,302,302,262,,,,,,2020,11
St. Joseph's Hospital and Medical Center (AZSJ),AZSJ,TX1,2021-01-04 18:00:00,LI,1,4,3,51,51,19,,,,,,2020,11
Banner University Medical Center-Tucson (AZUA),AZUA,TX1,2021-01-04 18:00:00,LI,1,2,8,25,25,26,,,,,,2020,11
Rady Children's Hospital and Health Center (CACH),CACH,TX1,2021-01-04 18:00:00,LI,,,,,,,,,3,,,2020,11
Childrens Hospital Los Angeles (CACL),CACL,TX1,2021-01-04 18:00:00,LI,0,1,,4,4,,2,3,3,61,61,2020,11
Cedars-Sinai Medical Center (CACS),CACS,TX1,2021-01-04 18:00:00,LI,15,21,15,201,201,144,,,,,,2020,11
Scripps Green Hospital (CAGH),CAGH,TX1,2021-01-04 18:00:00,LI,3,6,12,63,63,86,,,,,,2020,11
Loma Linda University Medical Center (CALL),CALL,TX1,2021-01-04 18:00:00,LI,8,18,20,205,205,98,0,0,,1,1,2020,11
UCSF Medical Center at Mission Bay (CAMB),CAMB,TX1,2021-01-04 18:00:00,LI,,,1,,,1,1,1,3,23,23,2020,11
Lucile Salter Packard Children's Hospital at Stanford (CAPC),CAPC,TX1,2021-01-04 18:00:00,LI,0,0,0,2,2,2,3,4,7,71,71,2020,11
California Pacific Medical Center (CAPM),CAPM,TX1,2021-01-04 18:00:00,LI,4,11,16,135,135,150,,,,,,2020,11
University of California San Diego Medical Center (CASD),CASD,TX1,2021-01-04 18:00:00,LI,2,5,13,102,102,77,,,,,,2020,11
University of California San Francisco Medical Center (CASF),CASF,TX1,2021-01-04 18:00:00,LI,13,20,49,376,376,398,0,0,,1,1,2020,11
Stanford Health Care (CASU),CASU,TX1,2021-01-04 18:00:00,LI,11,17,22,186,186,134,,,,,,2020,11
St. Vincent Medical Center (CASV),CASV,TX1,2021-01-04 18:00:00,LI,1,1,,13,13,,,,,,,2020,11
University of California at Los Angeles Medical Center (CAUC),CAUC,TX1,2021-01-04 18:00:00,LI,13,30,54,342,342,299,2,2,1,32,32,2020,11
Keck Hospital of USC (CAUH),CAUH,TX1,2021-01-04 18:00:00,LI,7,19,37,244,244,240,,,,,,2020,11
Children's Hospital Colorado (COCH),COCH,TX1,2021-01-04 18:00:00,LI,,,,,,,1,1,7,35,35,2020,11
Centura Porter Adventist Hospital (COPM),COPM,TX1,2021-01-04 18:00:00,LI,1,2,7,15,15,29,,,,,,2020,11
Presbyterian/St Luke's Medical Center (COSL),COSL,TX1,2021-01-04 18:00:00,LI,1,1,3,27,27,17,,,,,,2020,11
University of Colorado Hospital/Health Science Center (COUC),COUC,TX1,2021-01-04 18:00:00,LI,10,20,30,265,265,204,0,0,,2,2,2020,11
Hartford Hospital (CTHH),CTHH,TX1,2021-01-04 18:00:00,LI,7,10,9,63,63,49,,,,,,2020,11
Yale New Haven Hospital (CTYN),CTYN,TX1,2021-01-04 18:00:00,LI,1,3,4,59,59,55,0,0,3,13,13,2020,11
Georgetown University Medical Center (DCGU),DCGU,TX1,2021-01-04 18:00:00,LI,5,9,21,195,195,153,4,5,4,44,44,2020,11
Alfred I DuPont Hospital for Children (DEAI),DEAI,TX1,2021-01-04 18:00:00,LI,,,,,,,2,2,3,11,11,2020,11
Broward Health Medical Center (FLBC),FLBC,TX1,2021-01-04 18:00:00,LI,4,5,4,31,31,35,,,,,,2020,11
Cleveland Clinic Florida Weston (FLCC),FLCC,TX1,2021-01-04 18:00:00,LI,11,18,19,131,131,103,,,,,,2020,11
Florida Hospital Medical Center (FLFH),FLFH,TX1,2021-01-04 18:00:00,LI,7,17,12,149,149,148,0,1,,7,7,2020,11
Jackson Memorial Hospital University of Miami School of Medicine (FLJM),FLJM,TX1,2021-01-04 18:00:00,LI,4,11,33,210,210,213,5,6,6,49,49,2020,11
Largo Medical Center (FLLM),FLLM,TX1,2021-01-04 18:00:00,LI,2,3,1,32,32,3,,,,,,2020,11
Mayo Clinic Florida (FLSL),FLSL,TX1,2021-01-04 18:00:00,LI,7,19,45,359,359,357,,,,,,2020,11
Tampa General Hospital (FLTG),FLTG,TX1,2021-01-04 18:00:00,LI,6,10,22,245,245,162,,,,,,2020,11
UF Health Shands Hospital (FLUF),FLUF,TX1,2021-01-04 18:00:00,LI,5,5,14,66,66,81,,,,,,2020,11
Children's Healthcare of Atlanta at Egleston (GAEH),GAEH,TX1,2021-01-04 18:00:00,LI,1,1,1,7,7,2,1,1,8,66,66,2020,11
Emory University Hospital (GAEM),GAEM,TX1,2021-01-04 18:00:00,LI,7,15,40,299,299,308,0,0,,1,1,2020,11
Piedmont Hospital (GAPH),GAPH,TX1,2021-01-04 18:00:00,LI,15,28,39,292,292,245,,,,,,2020,11
The Queen's Medical Center (HIQM),HIQM,TX1,2021-01-04 18:00:00,LI,4,5,3,34,34,36,,,,,,2020,11
University of Iowa Hospitals and Clinics Transplant Programs (IAIV),IAIV,TX1,2021-01-04 18:00:00,LI,6,7,4,72,72,50,,,,,,2020,11
Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM),ILCM,TX1,2021-01-04 18:00:00,LI,,,0,,,1,10,12,2,41,41,2020,11
Loyola University Medical Center (ILLU),ILLU,TX1,2021-01-04 18:00:00,LI,6,9,14,139,139,111,,,,,,2020,11
Northwestern Memorial Hospital (ILNM),ILNM,TX1,2021-01-04 18:00:00,LI,10,24,27,229,229,203,,,0,,,2020,11
Rush University Medical Center (ILPL),ILPL,TX1,2021-01-04 18:00:00,LI,2,5,9,68,68,67,,,,,,2020,11
University of Chicago Medical Center (ILUC),ILUC,TX1,2021-01-04 18:00:00,LI,5,9,9,77,77,42,1,1,1,2,2,2020,11
University of Illinois Medical Center (ILUI),ILUI,TX1,2021-01-04 18:00:00,LI,2,4,8,110,110,54,,,,,,2020,11
Indiana University Health (INIM),INIM,TX1,2021-01-04 18:00:00,LI,10,22,28,315,315,308,2,3,0,33,33,2020,11
University of Kansas Hospital (KSUK),KSUK,TX1,2021-01-04 18:00:00,LI,1,3,31,172,172,206,,,,,,2020,11
Jewish Hospital (KYJH),KYJH,TX1,2021-01-04 18:00:00,LI,4,5,18,62,62,87,,,,,,2020,11
University of Kentucky Medical Center (KYUK),KYUK,TX1,2021-01-04 18:00:00,LI,4,6,12,105,105,81,,,,,,2020,11
Ochsner Foundation Hospital (LAOF),LAOF,TX1,2021-01-04 18:00:00,LI,11,31,72,454,454,454,0,1,3,5,5,2020,11
Tulane Medical Center (LATU),LATU,TX1,2021-01-04 18:00:00,LI,2,3,5,45,45,41,,,,,,2020,11
Willis-Knighton Medical Center (LAWK),LAWK,TX1,2021-01-04 18:00:00,LI,0,6,3,44,44,22,,,,,,2020,11
Beth Israel Deaconess Medical Center (MABI),MABI,TX1,2021-01-04 18:00:00,LI,1,4,5,80,80,66,,,,,,2020,11
Boston Children's Hospital (MACH),MACH,TX1,2021-01-04 18:00:00,LI,,,0,,,1,0,0,3,30,30,2020,11
Lahey Clinic Medical Center (MALC),MALC,TX1,2021-01-04 18:00:00,LI,8,18,37,208,208,213,,,,,,2020,11
Massachusetts General Hospital (MAMG),MAMG,TX1,2021-01-04 18:00:00,LI,2,8,19,169,169,144,0,0,0,1,1,2020,11
UMass Memorial Medical Center (MAUM),MAUM,TX1,2021-01-04 18:00:00,LI,9,18,30,159,159,155,,,,,,2020,11
Johns Hopkins Hospital (MDJH),MDJH,TX1,2021-01-04 18:00:00,LI,8,19,37,244,244,228,1,2,2,13,13,2020,11
University of Maryland Medical System (MDUM),MDUM,TX1,2021-01-04 18:00:00,LI,12,38,90,265,265,365,0,0,0,1,1,2020,11
William Beaumont Hospital (MIBH),MIBH,TX1,2021-01-04 18:00:00,LI,1,4,3,61,61,33,,,,,,2020,11
Children's Hospital of Michigan (MICH),MICH,TX1,2021-01-04 18:00:00,LI,,,,,,,0,0,0,3,3,2020,11
Henry Ford Hospital (MIHF),MIHF,TX1,2021-01-04 18:00:00,LI,4,18,34,231,231,234,,,1,,,2020,11
University of Michigan Medical Center (MIUM),MIUM,TX1,2021-01-04 18:00:00,LI,10,20,14,174,174,140,1,2,4,28,28,2020,11
Rochester Methodist Hospital (Mayo Clinic) (MNMC),MNMC,TX1,2021-01-04 18:00:00,LI,10,20,36,240,240,261,2,2,1,14,14,2020,11
"University of Minnesota Medical Center, Fairview (MNUM)",MNUM,TX1,2021-01-04 18:00:00,LI,4,12,23,164,164,164,1,2,1,24,24,2020,11
Barnes-Jewish Hospital (MOBH),MOBH,TX1,2021-01-04 18:00:00,LI,6,19,33,269,269,222,,,,,,2020,11
Cardinal Glennon Children's Hospital (MOCG),MOCG,TX1,2021-01-04 18:00:00,LI,0,0,,1,1,,0,0,2,3,3,2020,11
St. Louis Children's Hospital (MOCH),MOCH,TX1,2021-01-04 18:00:00,LI,0,0,1,2,2,2,0,0,8,30,30,2020,11
Children's Mercy Hospital (MOCM),MOCM,TX1,2021-01-04 18:00:00,LI,,,,,,,3,4,2,18,18,2020,11
St Luke's Hospital of Kansas City (MOLH),MOLH,TX1,2021-01-04 18:00:00,LI,2,3,3,50,50,21,,,,,,2020,11
SSM Health Saint Louis University Hospital (MOSL),MOSL,TX1,2021-01-04 18:00:00,LI,1,4,6,68,68,76,,,,,,2020,11
University of Mississippi Medical Center (MSUM),MSUM,TX1,2021-01-04 18:00:00,LI,2,6,14,97,97,76,0,1,,1,1,2020,11
Carolinas Medical Center (NCCM),NCCM,TX1,2021-01-04 18:00:00,LI,3,11,14,181,181,165,0,0,0,5,5,2020,11
Duke University Hospital (NCDU),NCDU,TX1,2021-01-04 18:00:00,LI,3,10,14,215,215,164,1,1,2,37,37,2020,11
University of North Carolina Hospitals (NCMH),NCMH,TX1,2021-01-04 18:00:00,LI,0,4,10,87,87,74,0,0,0,3,3,2020,11
The Nebraska Medical Center (NEUN),NEUN,TX1,2021-01-04 18:00:00,LI,8,13,39,174,174,158,0,2,4,20,20,2020,11
Our Lady of Lourdes Medical Center (NJLL),NJLL,TX1,2021-01-04 18:00:00,LI,1,2,3,34,34,15,,,,,,2020,11
University Hospital (NJUH),NJUH,TX1,2021-01-04 18:00:00,LI,1,2,19,82,82,90,,,,,,2020,11
NY Presbyterian Hospital/Columbia Univ. Medical Center (NYCP),NYCP,TX1,2021-01-04 18:00:00,LI,4,8,31,128,128,195,0,1,6,58,58,2020,11
"Strong Memorial Hospital, University of Rochester Medical Center (NYFL)",NYFL,TX1,2021-01-04 18:00:00,LI,2,7,13,113,113,83,0,2,,2,2,2020,11
Montefiore Medical Center (NYMA),NYMA,TX1,2021-01-04 18:00:00,LI,2,3,11,102,102,80,2,3,0,21,21,2020,11
Mount Sinai Medical Center (NYMS),NYMS,TX1,2021-01-04 18:00:00,LI,11,23,42,276,276,244,1,1,5,17,17,2020,11
North Shore University Hospital/Northwell Health (NYNS),NYNS,TX1,2021-01-04 18:00:00,LI,0,0,,1,1,,,,,,,2020,11
New York-Presbyterian Hospital/Weill Cornell Medical Center (NYNY),NYNY,TX1,2021-01-04 18:00:00,LI,4,13,10,134,134,58,,,,,,2020,11
New York University Medical Center (NYUC),NYUC,TX1,2021-01-04 18:00:00,LI,1,4,7,109,109,76,,,,,,2020,11
Westchester Medical Center (NYWC),NYWC,TX1,2021-01-04 18:00:00,LI,3,6,5,80,80,42,,,1,,,2020,11
The Cleveland Clinic Foundation (OHCC),OHCC,TX1,2021-01-04 18:00:00,LI,9,26,37,320,320,296,0,2,1,18,18,2020,11
Nationwide Children's Hospital (OHCH),OHCH,TX1,2021-01-04 18:00:00,LI,0,0,,1,1,,,,,,,2020,11
Children's Hospital Medical Center (OHCM),OHCM,TX1,2021-01-04 18:00:00,LI,0,0,0,1,1,1,1,2,8,48,48,2020,11
Ohio State University Medical Center (OHOU),OHOU,TX1,2021-01-04 18:00:00,LI,6,20,16,281,281,128,,,,,,2020,11
University of Cincinnati  Medical Center (OHUC),OHUC,TX1,2021-01-04 18:00:00,LI,7,19,40,264,264,236,,,,,,2020,11
University Hospitals of Cleveland (OHUH),OHUH,TX1,2021-01-04 18:00:00,LI,1,2,8,43,43,45,,,,,,2020,11
Integris Baptist Medical Center (OKBC),OKBC,TX1,2021-01-04 18:00:00,LI,3,7,11,120,120,93,,,0,,,2020,11
OU Medical Center (OKMD),OKMD,TX1,2021-01-04 18:00:00,LI,0,1,6,4,4,31,0,0,1,2,2,2020,11
Oregon Health & Science University (ORUO),ORUO,TX1,2021-01-04 18:00:00,LI,3,15,19,145,145,127,,,,,,2020,11
VA Portland Health Care System (ORVA),ORVA,TX1,2021-01-04 18:00:00,LI,0,3,3,50,50,51,,,,,,2020,11
Albert Einstein Medical Center (PAAE),PAAE,TX1,2021-01-04 18:00:00,LI,5,7,17,153,153,140,,,,,,2020,11
Allegheny General Hospital (PAAG),PAAG,TX1,2021-01-04 18:00:00,LI,2,6,12,95,95,51,,,,,,2020,11
UPMC Children's Hospital of Pittsburgh (PACH),PACH,TX1,2021-01-04 18:00:00,LI,0,0,0,12,12,7,0,3,4,53,53,2020,11
Children's Hospital of Philadelphia (PACP),PACP,TX1,2021-01-04 18:00:00,LI,,,,,,,3,3,2,39,39,2020,11
Geisinger Medical Center (PAGM),PAGM,TX1,2021-01-04 18:00:00,LI,3,5,1,41,41,29,,,,,,2020,11
Penn State Milton S Hershey Medical Center (PAHE),PAHE,TX1,2021-01-04 18:00:00,LI,1,4,10,60,60,57,,,,,,2020,11
Hahnemann University Hospital (PAHM),PAHM,TX1,2021-01-04 18:00:00,LI,2,3,9,23,23,48,,,,,,2020,11
University of Pittsburgh Medical Center (PAPT),PAPT,TX1,2021-01-04 18:00:00,LI,3,14,38,280,280,200,,,,,,2020,11
Thomas Jefferson University Hospital (PATJ),PATJ,TX1,2021-01-04 18:00:00,LI,5,11,19,197,197,147,,,,,,2020,11
Temple University Hospital (PATU),PATU,TX1,2021-01-04 18:00:00,LI,0,1,5,22,22,19,,,,,,2020,11
Hospital of the University of Pennsylvania (PAUP),PAUP,TX1,2021-01-04 18:00:00,LI,6,21,34,307,307,308,0,0,,2,2,2020,11
VA Pittsburgh Healthcare System (PAVA),PAVA,TX1,2021-01-04 18:00:00,LI,1,6,12,104,104,76,,,,,,2020,11
Auxilio Mutuo Hospital (PRSJ),PRSJ,TX1,2021-01-04 18:00:00,LI,6,9,18,83,83,108,0,0,0,3,3,2020,11
Medical University of South Carolina (SCMU),SCMU,TX1,2021-01-04 18:00:00,LI,6,13,36,172,172,158,1,3,1,14,14,2020,11
Avera McKennan Hospital (SDMK),SDMK,TX1,2021-01-04 18:00:00,LI,2,3,0,23,23,4,,,,,,2020,11
Le Bonheur Children's Medical Center (TNLB),TNLB,TX1,2021-01-04 18:00:00,LI,,,,,,,0,0,3,11,11,2020,11
Methodist University Hospital (TNMH),TNMH,TX1,2021-01-04 18:00:00,LI,14,29,63,241,241,283,,,,,,2020,11
Vanderbilt University Medical Center (TNVU),TNVU,TX1,2021-01-04 18:00:00,LI,8,16,52,288,288,338,0,0,1,29,29,2020,11
Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS),TXAS,TX1,2021-01-04 18:00:00,LI,1,5,6,96,96,29,,,,,,2020,11
"University Hospital, University of Texas Health Science Center (TXBC)",TXBC,TX1,2021-01-04 18:00:00,LI,3,7,24,241,241,160,2,2,1,9,9,2020,11
Children's Medical Center of Dallas (TXCM),TXCM,TX1,2021-01-04 18:00:00,LI,1,1,,1,1,,1,1,3,25,25,2020,11
"Memorial Hermann Hospital, University of Texas at Houston (TXHH)",TXHH,TX1,2021-01-04 18:00:00,LI,4,5,10,69,69,108,0,0,1,8,8,2020,11
CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI),TXHI,TX1,2021-01-04 18:00:00,LI,6,17,39,186,186,201,,,0,,,2020,11
Methodist Specialty and Transplant Hospital (TXHS),TXHS,TX1,2021-01-04 18:00:00,LI,3,8,9,116,116,120,,,,,,2020,11
University of Texas Medical Branch at Galveston (TXJS),TXJS,TX1,2021-01-04 18:00:00,LI,1,2,5,42,42,24,,,,,,2020,11
Methodist Dallas Medical Center (TXMC),TXMC,TX1,2021-01-04 18:00:00,LI,10,19,14,166,166,130,,,,,,2020,11
Houston Methodist Hospital (TXMH),TXMH,TX1,2021-01-04 18:00:00,LI,14,26,52,301,301,248,,,,,,2020,11
Medical City Fort Worth (TXPL),TXPL,TX1,2021-01-04 18:00:00,LI,0,2,1,11,11,3,,,,,,2020,11
UT Southwestern Medical Center/ (TXSP),TXSP,TX1,2021-01-04 18:00:00,LI,4,13,15,213,213,108,,,,,,2020,11
Texas Children's Hospital (TXTC),TXTC,TX1,2021-01-04 18:00:00,LI,0,0,,3,3,,1,5,8,92,92,2020,11
Baylor University Medical Center (TXTX),TXTX,TX1,2021-01-04 18:00:00,LI,11,26,29,242,242,263,0,1,,2,2,2020,11
University Childrens Health (TXUC,TXUC,TX1,2021-01-04 18:00:00,LI,,,,,,,0,0,,4,4,2020,11
Michael E. DeBakey VA Medical Center (TXVA),TXVA,TX1,2021-01-04 18:00:00,LI,1,3,7,40,40,26,,,,,,2020,11
Intermountain Medical Center (UTLD),UTLD,TX1,2021-01-04 18:00:00,LI,3,11,12,118,118,97,,,,,,2020,11
University of Utah Medical Center (UTMC),UTMC,TX1,2021-01-04 18:00:00,LI,0,1,8,88,88,71,,,,,,2020,11
Primary Children's Hospital (UTPC),UTPC,TX1,2021-01-04 18:00:00,LI,,,,,,,4,5,3,41,41,2020,11
Medical College of Virginia Hospitals (VAMC),VAMC,TX1,2021-01-04 18:00:00,LI,5,13,21,184,184,138,0,0,,2,2,2020,11
University of Virginia Health Sciences Center (VAUV),VAUV,TX1,2021-01-04 18:00:00,LI,8,14,19,217,217,132,0,0,0,14,14,2020,11
Seattle Children's Hospital (WACH),WACH,TX1,2021-01-04 18:00:00,LI,,,,,,,2,2,4,33,33,2020,11
Swedish Medical Center (WASM),WASM,TX1,2021-01-04 18:00:00,LI,1,6,7,85,85,54,,,,,,2020,11
University of Washington Medical Center (WAUW),WAUW,TX1,2021-01-04 18:00:00,LI,8,12,25,225,225,206,,,,,,2020,11
Children's Hospital of Wisconsin (WICH),WICH,TX1,2021-01-04 18:00:00,LI,,,,,,,1,1,1,19,19,2020,11
Froedtert Memorial Lutheran Hospital (WISE),WISE,TX1,2021-01-04 18:00:00,LI,2,3,13,55,55,53,,,,,,2020,11
Aurora St. Luke's Medical Center (WISL),WISL,TX1,2021-01-04 18:00:00,LI,1,3,13,66,66,57,,,,,,2020,11
University of Wisconsin Hospital and Clinics (WIUW),WIUW,TX1,2021-01-04 18:00:00,LI,7,18,41,250,250,238,0,0,2,2,2,2020,11
Children's of Alabama (ALCH),ALCH,TX1,2022-01-06 18:00:00,LI,,,,,,,0,0,4,9,9,2021,11
University of Alabama Hospital (ALUA),ALUA,TX1,2022-01-06 18:00:00,LI,7,14,47,230,230,299,,,,,,2021,11
UAMS Medical Center (ARUA),ARUA,TX1,2022-01-06 18:00:00,LI,1,4,5,81,81,83,,,,,,2021,11
Phoenix Children's Hospital (AZCH),AZCH,TX1,2022-01-06 18:00:00,LI,,,,,,,0,0,1,12,12,2021,11
Banner-University Medical Center Phoenix (AZGS),AZGS,TX1,2022-01-06 18:00:00,LI,8,21,38,245,245,212,,,,,,2021,11
Mayo Clinic Hospital (AZMC),AZMC,TX1,2022-01-06 18:00:00,LI,11,24,32,332,332,285,,,,,,2021,11
St. Joseph's Hospital and Medical Center (AZSJ),AZSJ,TX1,2022-01-06 18:00:00,LI,1,3,5,51,51,36,,,,,,2021,11
Banner University Medical Center-Tucson (AZUA),AZUA,TX1,2022-01-06 18:00:00,LI,0,1,7,9,9,36,,,,,,2021,11
Rady Children's Hospital and Health Center (CACH),CACH,TX1,2022-01-06 18:00:00,LI,,,,,,,,,0,,,2021,11
Childrens Hospital Los Angeles (CACL),CACL,TX1,2022-01-06 18:00:00,LI,0,1,0,3,3,1,2,3,3,53,53,2021,11
Cedars-Sinai Medical Center (CACS),CACS,TX1,2022-01-06 18:00:00,LI,16,21,16,192,192,173,,,,,,2021,11
Scripps Green Hospital (CAGH),CAGH,TX1,2022-01-06 18:00:00,LI,3,6,8,56,56,77,,,,,,2021,11
Loma Linda University Medical Center (CALL),CALL,TX1,2022-01-06 18:00:00,LI,7,14,20,211,211,139,,,0,,,2021,11
UCSF Medical Center at Mission Bay (CAMB),CAMB,TX1,2022-01-06 18:00:00,LI,,,1,,,1,0,0,2,20,20,2021,11
Lucile Salter Packard Children's Hospital at Stanford (CAPC),CAPC,TX1,2022-01-06 18:00:00,LI,0,0,0,2,2,1,5,6,6,50,50,2021,11
California Pacific Medical Center (CAPM),CAPM,TX1,2022-01-06 18:00:00,LI,3,7,15,113,113,144,,,,,,2021,11
