ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ACT_C3Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2012/07/13 , Lung , 3 , 8 , 26 ,91.89,77.4, 61.38 , 95.46 , 83.64 , 67.35 , 1.65 , 5.09 , 21.43 , 37 , 37 , 68 , 0 , 0 , 0 , 100.00 , 100.00 , 100.00 ,0,0,0,0,0,0, 2 , 2 ,2012,7
St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2012/07/13 , Lung , 2 , 9 , 5 ,96.92,83.1, 76.19 , 95.49 , 83.62 , 67.46 , 2.91 , 9.68 , 7.35 , 65 , 65 , 21 , 0 , 0 ,0, 100.00 , 100.00 ,0,0,0,0,0,0,0, 2 , 2 ,2012,7
"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2012/07/13 , Lung , 1 , 7 , 18 ,97.37,80.7, 57.84 , 95.15 , 82.75 , 62.69 , 1.91 , 6.46 , 16.36 , 38 , 38 , 43 ,0,0, 2 ,0,0, 0.00 ,0,0,0,0,0,0,0,0,2012,7
Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2012/07/13 , Lung , 0 , 1 , 1 ,100,50, 50.00 , 97.39 , 90.05 , 67.67 , 0.05 , 0.14 , 0.26 , 2 , 2 , 2 , 0 , 0 , 2 , 100.00 , 100.00 , 71.43 ,0,0,0,0,0,0, 3 , 3 ,2012,7
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2012/07/13 , Lung , 0 , 4 , 24 ,100,89.89, 47.83 , 94.75 , 82.14 , 60.21 , 2.59 , 8.92 , 14.82 , 46 , 46 , 46 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2012/07/13 , Lung ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0 , 1 ,0, 100.00 , 66.67 ,0,0,0,0,0,0,0, 4 , 4 ,2012,7
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2012/07/13 , Lung , 1 , 4 , 10 ,97.67,89.39, 64.29 , 96.39 , 86.54 , 63.25 , 1.50 , 5.32 , 10.06 , 43 , 43 , 28 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2012/07/13 , Lung , 1 , 5 , 28 ,98.94,93.47, 65.44 , 95.34 , 83.12 , 62.87 , 4.49 , 15.52 , 32.77 , 94 , 94 , 86 , 0 , 0 , 1 , 100.00 , 100.00 , 0.00 ,0,0,0,0,0,0, 2 , 2 ,2012,7
Stanford University Medical Center (CASU) , CASU , TX1 , 2012/07/13 , Lung , 1 , 9 , 32 ,98.86,89.34, 64.07 , 96.22 , 86.13 , 69.66 , 3.32 , 10.81 , 26.54 , 88 , 88 , 91 , 0 , 0 , 3 , 100.00 , 100.00 , 25.00 ,0,0,0,0,0,0, 1 , 1 ,2012,7
University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2012/07/13 , Lung , 2 , 11 , 56 ,98.54,90.84, 59.94 , 96.34 , 86.36 , 60.92 , 5.07 , 17.60 , 61.63 , 137 , 137 , 144 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
