,,,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
To Date,All Recipient Ages,,"944,208","576,684","183,412","128,646",215,"41,828","6,820","3,025","3,578"
,< 1 Year,,"9,553","5,489","1,467","1,924",6,391,72,52,152
,1-5 Years,,"16,782","9,334","2,962","3,396",15,678,116,80,201
,6-10 Years,,"9,982","5,737","1,689","2,020",4,357,70,28,77
,11-17 Years,,"25,097","13,820","4,815","5,118",9,822,218,106,189
,18-34 Years,,"128,198","72,421","27,543","21,222",42,"5,143",854,488,485
,35-49 Years,,"255,383","149,234","56,622","34,467",61,"11,237","1,972",907,883
,50-64 Years,,"368,882","232,802","68,518","46,337",67,"16,131","2,778","1,058","1,191"
,65 +,,"130,326","87,847","19,796","14,162",6,"7,069",740,306,400
,Unknown,,5,0,0,0,5,0,0,0,0
2023,All Recipient Ages,,"23,125","11,697","5,260","4,261",0,"1,450",174,104,179
,< 1 Year,,133,57,26,32,0,5,4,2,7
,1-5 Years,,252,117,51,63,0,10,1,2,8
,6-10 Years,,156,70,36,35,0,13,0,1,1
,11-17 Years,,399,197,57,106,0,18,4,5,12
,18-34 Years,,"2,213",968,471,597,0,124,22,8,23
,35-49 Years,,"5,160","2,248","1,355","1,077",0,353,50,30,47
,50-64 Years,,"9,399","4,794","2,240","1,672",0,534,59,45,55
,65 +,,"5,413","3,246","1,024",679,0,393,34,11,26
2022,All Recipient Ages,,"42,889","21,757","9,639","8,019",0,"2,699",321,137,317
,< 1 Year,,263,119,44,71,0,19,1,1,8
,1-5 Years,,434,211,85,108,0,15,1,2,12
,6-10 Years,,263,127,39,74,0,15,2,1,5
,11-17 Years,,817,371,166,219,0,38,2,6,15
,18-34 Years,,"4,333","1,861",967,"1,127",0,256,51,20,51
,35-49 Years,,"9,758","4,295","2,613","1,998",0,653,83,40,76
,50-64 Years,,"17,239","8,758","4,017","3,146",0,"1,040",122,48,108
,65 +,,"9,782","6,015","1,708","1,276",0,663,59,19,42
2021,All Recipient Ages,,"41,356","21,354","9,252","7,500",0,"2,467",322,154,307
,< 1 Year,,257,130,52,49,0,11,4,0,11
,1-5 Years,,511,272,94,95,0,36,1,0,13
,6-10 Years,,288,142,39,88,0,11,2,1,5
,11-17 Years,,834,383,145,235,0,38,10,4,19
,18-34 Years,,"4,407","1,884","1,054","1,158",0,217,32,24,38
,35-49 Years,,"9,453","4,172","2,559","1,897",0,604,97,45,79
,50-64 Years,,"16,711","8,758","3,814","2,851",0,996,129,57,106
,65 +,,"8,895","5,613","1,495","1,127",0,554,47,23,36
2020,All Recipient Ages,,"39,036","20,988","8,417","6,681",0,"2,237",281,152,280
,< 1 Year,,280,131,55,73,0,15,2,1,3
,1-5 Years,,477,224,93,109,0,28,5,2,16
,6-10 Years,,274,123,55,73,0,16,2,0,5
,11-17 Years,,735,343,149,184,0,38,8,3,10
,
,18-34 Years,,"3,964","1,833",902,945,0,204,28,22,30
,35-49 Years,,"8,719","3,934","2,341","1,648",0,594,89,36,77
,50-64 Years,,"15,897","8,732","3,446","2,611",0,848,103,56,101
,65 +,,"8,690","5,668","1,376","1,038",0,494,44,32,38
2019,All Recipient Ages,,"39,719","21,639","8,332","6,811",0,"2,222",271,132,312
,< 1 Year,,300,145,54,72,0,19,1,1,8
,1-5 Years,,505,261,78,125,0,21,5,4,11
,6-10 Years,,347,178,56,92,0,16,1,2,2
,11-17 Years,,771,399,156,175,0,17,6,4,14
,18-34 Years,,"4,174","1,960",921,976,0,214,35,20,48
,35-49 Years,,"8,713","4,004","2,277","1,673",0,564,70,32,93
,50-64 Years,,"16,294","9,086","3,413","2,659",0,870,120,46,100
,65 +,,"8,615","5,606","1,377","1,039",0,501,33,23,36
2018,All Recipient Ages,,"36,530","20,136","7,541","6,084",0,"2,084",284,124,277
,< 1 Year,,278,122,51,67,0,22,3,4,9
,1-5 Years,,537,285,87,126,0,25,5,3,6
,6-10 Years,,331,163,57,84,0,15,1,1,10
,11-17 Years,,749,358,137,201,0,35,1,6,11
,18-34 Years,,"3,800","1,854",778,898,0,198,31,7,34
,35-49 Years,,"8,057","3,781","2,134","1,454",0,517,69,35,67
,50-64 Years,,"15,005","8,544","3,053","2,298",0,823,129,56,102
,65 +,,"7,773","5,029","1,244",956,0,449,45,12,38
2017,All Recipient Ages,,"34,770","19,527","7,286","5,484",0,"1,889",269,111,204
,< 1 Year,,249,119,45,57,0,14,4,3,7
,1-5 Years,,575,294,95,132,0,32,2,4,16
,6-10 Years,,292,155,55,66,0,9,3,0,4
,11-17 Years,,783,380,148,202,0,30,5,5,13
,18-34 Years,,"3,695","1,871",786,775,0,192,25,15,31
,35-49 Years,,"7,785","3,723","2,083","1,352",0,478,77,23,49
,50-64 Years,,"14,643","8,537","3,000","2,127",0,749,119,44,67
,65 +,,"6,748","4,448","1,074",773,0,385,34,17,17
2016,All Recipient Ages,,"33,610","18,799","7,061","5,448",0,"1,738",230,123,211
,< 1 Year,,293,133,49,75,0,19,3,1,13
,1-5 Years,,543,266,97,133,0,33,3,2,9
,6-10 Years,,302,156,57,64,0,16,1,2,6
,11-17 Years,,740,383,126,190,0,26,4,5,6
,18-34 Years,,"3,744","1,866",839,795,0,178,19,16,31
,35-49 Years,,"7,526","3,641","1,997","1,306",0,427,62,34,59
,50-64 Years,,"14,242","8,260","2,881","2,183",0,701,110,49,58
,65 +,,"6,220","4,094","1,015",702,0,338,28,14,29
2015,All Recipient Ages,,"30,974","17,174","6,760","4,862",0,"1,650",256,119,153
,
,< 1 Year,,256,136,39,58,0,12,2,2,7
,1-5 Years,,605,311,93,147,0,28,12,5,9
,6-10 Years,,332,171,57,80,0,15,3,2,4
,11-17 Years,,707,364,126,164,0,41,1,2,9
,18-34 Years,,"3,628","1,760",814,783,0,199,24,22,26
,35-49 Years,,"7,175","3,388","2,038","1,187",0,424,64,39,35
,50-64 Years,,"12,917","7,538","2,726","1,843",0,605,119,36,50
,65 +,,"5,354","3,506",867,600,0,326,31,11,13
2014,All Recipient Ages,,"29,540","17,313","5,946","4,272",1,"1,542",232,100,134
,< 1 Year,,280,150,46,68,0,6,4,0,6
,1-5 Years,,503,251,89,112,0,30,5,1,15
,6-10 Years,,284,148,50,62,0,17,2,3,2
,11-17 Years,,728,392,137,153,0,24,8,3,11
,18-34 Years,,"3,149","1,683",659,612,0,148,22,13,12
,35-49 Years,,"6,412","3,264","1,666","1,002",1,374,55,28,22
,50-64 Years,,"12,790","7,813","2,448","1,669",0,659,106,45,50
,65 +,,"5,394","3,612",851,594,0,284,30,7,16
2013,All Recipient Ages,,"28,956","17,124","5,802","4,186",1,"1,439",190,106,108
,< 1 Year,,260,135,38,71,0,10,1,2,3
,1-5 Years,,545,292,78,131,0,26,5,6,7
,6-10 Years,,295,149,55,75,0,12,1,0,3
,11-17 Years,,718,368,155,159,0,19,7,3,7
,18-34 Years,,"3,081","1,653",687,550,0,149,17,8,17
,35-49 Years,,"6,310","3,266","1,636",985,1,326,45,25,26
,50-64 Years,,"12,677","7,771","2,416","1,708",0,619,86,43,34
,65 +,,"5,070","3,490",737,507,0,278,28,19,11
2012,All Recipient Ages,,"28,059","16,723","5,586","3,978",6,"1,400",193,69,104
,< 1 Year,,277,159,45,51,0,17,0,1,4
,1-5 Years,,519,285,93,108,0,21,3,1,8
,6-10 Years,,281,143,49,66,0,18,1,1,3
,11-17 Years,,696,374,112,174,1,19,9,0,7
,18-34 Years,,"3,105","1,642",682,577,1,159,20,8,16
,35-49 Years,,"6,390","3,327","1,588","1,017",3,353,55,24,23
,50-64 Years,,"12,156","7,577","2,346","1,545",1,547,81,26,33
,65 +,,"4,635","3,216",671,440,0,266,24,8,10
2011,All Recipient Ages,,"28,553","16,968","5,860","3,975",13,"1,343",195,68,131
,< 1 Year,,281,171,35,47,0,13,7,2,6
,1-5 Years,,514,274,94,111,4,19,1,3,8
,6-10 Years,,273,153,48,57,0,13,1,1,0
,11-17 Years,,730,344,148,200,0,25,4,2,7
,18-34 Years,,"3,054","1,642",682,537,5,144,21,8,15
,
,35-49 Years,,"6,609","3,503","1,704",991,1,316,45,20,29
,50-64 Years,,"12,575","7,829","2,477","1,537",2,564,89,27,50
,65 +,,"4,517","3,052",672,495,1,249,27,5,16
2010,All Recipient Ages,,"28,668","17,116","5,953","3,859",6,"1,309",201,82,142
,< 1 Year,,290,167,40,62,0,13,1,1,6
,1-5 Years,,500,257,92,118,0,22,1,4,6
,6-10 Years,,300,158,48,75,0,15,1,1,2
,11-17 Years,,735,349,162,180,0,31,5,2,6
,18-34 Years,,"3,226","1,779",692,583,2,123,19,9,19
,35-49 Years,,"6,895","3,644","1,889",914,1,334,48,33,32
,50-64 Years,,"12,424","7,817","2,386","1,500",1,537,99,24,60
,65 +,,"4,296","2,945",644,427,0,234,27,8,11
,Unknown,,2,0,0,0,2,0,0,0,0
2009,All Recipient Ages,,"28,463","17,284","5,698","3,816",4,"1,266",195,80,120
,< 1 Year,,329,161,61,78,0,14,1,2,12
,1-5 Years,,592,301,113,135,1,29,2,4,7
,6-10 Years,,315,186,53,60,0,10,2,0,4
,11-17 Years,,781,422,136,176,0,26,5,7,9
,18-34 Years,,"3,221","1,761",735,550,0,134,19,11,11
,35-49 Years,,"6,967","3,878","1,692",990,0,303,56,25,23
,50-64 Years,,"12,238","7,809","2,305","1,437",1,527,89,24,46
,65 +,,"4,018","2,766",603,390,0,223,21,7,8
,Unknown,,2,0,0,0,2,0,0,0,0
2008,All Recipient Ages,,"27,967","17,012","5,474","3,812",3,"1,267",224,90,85
,< 1 Year,,343,174,60,77,0,12,8,5,7
,1-5 Years,,565,291,119,123,0,19,6,6,1
,6-10 Years,,304,169,40,75,0,16,0,0,4
,11-17 Years,,751,392,141,181,0,22,6,3,6
,18-34 Years,,"3,263","1,756",740,573,1,149,23,11,10
,35-49 Years,,"6,976","3,937","1,644",983,2,320,53,20,17
,50-64 Years,,"12,093","7,774","2,168","1,442",0,542,102,36,29
,65 +,,"3,672","2,519",562,358,0,187,26,9,11
2007,All Recipient Ages,,"28,366","17,574","5,462","3,751",0,"1,235",180,77,87
,< 1 Year,,343,180,55,77,0,20,2,4,5
,1-5 Years,,547,291,95,118,0,29,6,2,6
,6-10 Years,,273,146,50,63,0,12,0,1,1
,11-17 Years,,793,406,161,186,0,31,7,1,1
,18-34 Years,,"3,351","1,778",803,588,0,133,23,14,12
,35-49 Years,,"7,453","4,373","1,705",964,0,321,53,17,20
