Transplant Year,Age Group,Organ,Number_of_Transplants,Graft_Survival_Rate_20,Patient_Survival_Rate_20,Blood_O,Blood_A,Blood_B,Blood_AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
2002,<1 Year,Kidney,5,0,0,2,2,0,1,1,0,0,0,0,0,0,2,0,0,2,157,31,54,0,7,3,0,3
2002,1-5 Years,Kidney,137,38.11,90.08,72,54,15,0,52,1,18,1,2,0,44,10,0,2,11,256,94,102,0,19,2,2,2
2002,6-10 Years,Kidney,146,25.11,72.87,77,56,15,9,49,0,42,0,4,0,35,4,1,8,14,163,47,60,1,5,2,0,1
2002,11-17 Years,Kidney,385,16.58,67.76,233,161,51,20,104,1,134,6,1,0,87,5,5,74,48,447,131,127,2,21,7,6,5
2002,18-34,Kidney,2100,28.68,58.7,"1,175",972,310,116,95,205,948,251,4,0,367,42,98,426,137,"2,030",814,568,1,139,14,13,6
2002,35-49,Kidney,3885,28.19,35.59,"2,133","1,717",598,218,48,815,"1,141",627,6,0,524,428,226,673,178,"5,189","1,473",871,4,242,50,30,9
2002,50-64,Kidney,4697,15.39,13.12,"2,289","2,041",668,242,23,"1,557",845,776,15,0,543,622,251,384,224,"6,605","1,503",987,1,333,69,33,6
2002,65+,Kidney,1459,3.81,2.38,649,607,190,87,6,435,250,304,13,0,193,114,101,67,50,"1,523",277,235,0,106,18,7,2
2002,Not Reported,Kidney,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2001,<1 Year,Kidney,4,0,0,2,1,0,1,3,0,0,0,0,0,1,0,0,0,0,143,49,62,1,12,0,0,2
2001,1-5 Years,Kidney,146,30.38,78.64,61,65,17,9,58,0,27,0,1,0,39,11,0,4,12,279,89,99,1,20,2,2,0
2001,6-10 Years,Kidney,125,31.37,75.43,75,40,21,5,36,0,32,1,1,0,34,5,0,14,18,144,46,45,0,6,3,0,1
2001,11-17 Years,Kidney,386,23.51,64.19,193,171,47,18,93,0,145,9,4,0,74,15,6,39,44,417,121,160,0,20,6,1,1
2001,18-34,Kidney,2201,29.5,60.44,"1,197","1,028",329,130,86,214,934,260,3,0,406,55,105,471,150,"2,165",833,524,0,146,18,20,1
2001,35-49,Kidney,3886,29.99,38.05,"2,151","1,723",585,210,53,797,"1,065",626,11,1,561,446,197,742,170,"5,161","1,431",844,1,254,52,35,1
2001,50-64,Kidney,4445,15.69,15.7,"2,178","1,919",596,219,16,"1,402",755,744,22,0,577,571,238,370,217,"6,435","1,446",890,1,281,70,28,0
2001,65+,Kidney,1245,3.21,2.37,544,519,150,75,4,342,176,273,8,0,193,117,68,39,68,"1,365",253,158,0,81,12,5,0
2000,<1 Year,Kidney,4,0,0,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,156,38,58,0,12,1,3,0
2000,1-5 Years,Kidney,101,44.87,89.76,50,36,15,6,37,0,14,0,1,0,33,7,0,3,12,244,74,66,0,13,1,5,0
2000,6-10 Years,Kidney,110,25.33,82.47,60,47,13,6,28,0,30,1,1,0,35,5,0,12,14,166,53,60,0,4,1,0,0
2000,11-17 Years,Kidney,344,24.01,68.01,162,162,51,17,85,2,129,5,0,0,76,10,1,44,40,390,120,116,0,23,2,1,0
2000,18-34,Kidney,2161,27.93,61.67,"1,254",925,318,106,83,216,959,229,8,0,415,36,89,414,154,"2,140",749,486,0,145,22,15,2
2000,35-49,Kidney,3862,28.18,39.9,"2,111","1,741",577,223,43,772,"1,134",583,7,1,573,415,197,722,205,"5,302","1,395",836,0,237,58,31,1
2000,50-64,Kidney,4095,15.01,15.1,"1,937","1,817",567,214,26,"1,231",747,636,16,1,563,537,207,357,214,"5,935","1,304",813,0,269,74,31,2
2000,65+,Kidney,1159,5.06,3.5,555,484,120,53,10,313,172,232,5,0,205,101,70,35,69,"1,363",226,162,0,53,12,3,1
1999,<1 Year,Kidney,8,0,0,6,2,0,1,2,0,1,1,0,0,2,1,0,0,2,176,48,40,0,6,4,0,1
1999,1-5 Years,Kidney,131,35.02,84.17,68,41,24,3,48,0,16,0,4,0,36,15,0,5,12,250,67,71,0,17,2,0,2
1999,6-10 Years,Kidney,126,20.78,73.56,69,51,20,4,43,0,33,2,1,0,32,7,3,12,11,184,45,44,0,3,3,0,0
1999,11-17 Years,Kidney,394,18.57,67.43,227,174,51,9,92,2,149,4,0,0,94,17,4,50,49,432,151,94,0,12,9,2,0
1999,18-34,Kidney,2177,26.57,58.99,"1,148",952,349,121,103,220,970,255,3,1,404,31,91,311,181,"2,054",838,489,0,123,24,10,0
1999,35-49,Kidney,3613,27.42,38.22,"1,863","1,649",558,217,45,800,"1,108",541,9,3,483,388,212,491,208,"5,211","1,261",723,1,232,57,31,0
1999,50-64,Kidney,3871,15.29,15.3,"1,771","1,651",557,228,28,"1,200",710,638,13,4,465,513,216,224,197,"5,531","1,186",721,0,260,73,23,0
1999,65+,Kidney,906,2.79,2.57,391,405,104,51,5,236,162,181,4,1,139,75,74,30,44,"1,145",188,127,0,39,12,8,0
1998,<1 Year,Kidney,3,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,197,35,48,0,7,1,2,1
1998,1-5 Years,Kidney,106,39.71,89.93,57,40,15,2,34,0,20,0,2,0,32,11,2,5,9,218,90,65,0,13,3,2,0
1998,6-10 Years,Kidney,136,25.97,73.81,79,40,25,9,43,0,47,0,0,1,27,10,2,8,15,201,50,52,0,5,3,2,0
1998,11-17 Years,Kidney,332,17.97,65.41,194,132,50,16,80,0,125,5,0,0,92,2,5,37,47,419,129,83,0,16,8,6,0
1998,18-34,Kidney,2150,27.19,60.08,"1,188",967,311,138,89,270,"1,028",258,2,2,423,49,70,221,192,"2,208",779,486,0,95,16,19,1
1998,35-49,Kidney,3674,25.83,38.54,"1,940","1,684",546,170,55,849,"1,133",585,4,4,599,398,181,303,231,"5,025","1,286",747,2,237,55,31,0
