ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2012/07/13 , Heart , 0 , 2 , 12 ,100,94.51, 70.73 , 97.02 , 92.68 , 80.03 , 1.25 , 2.92 , 7.67 , 41 , 41 , 41 , 0 , 0 , 0 , 100.00 , 100.00 , 97.59 , 93.69 , 85.83 , 0.32 , 0.80 , 1.69 , 13 , 13 ,2012,7
Baptist Medical Center (ARBH) , ARBH , TX1 , 2012/07/13 , Heart , 0 , 2 , 10 ,100,89.95, 68.75 , 96.49 , 91.49 , 78.62 , 0.76 , 1.72 , 6.95 , 21 , 21 , 32 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2012/07/13 , Heart , 0 , 0 ,0,100,100,0, 93.40 , 84.21 ,0, 0.21 , 0.52 ,0, 3 , 3 ,0, 0 , 9 , 12 , 100.00 , 81.68 , 93.70 , 84.85 , 75.14 , 3.47 , 7.92 , 11.99 , 51 , 51 ,2012,7
UAMS Medical Center (ARUA) , ARUA , TX1 , 2012/07/13 , Heart ,0,0, 0 ,0,0, 100.00 ,0,0, 76.03 ,0,0, 0.27 ,0,0, 1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2012/07/13 , Heart , 1 , 2 , 8 ,97.56,94.77, 82.22 , 96.26 , 90.92 , 83.69 , 1.52 , 3.67 , 7.35 , 41 , 41 , 45 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2012/07/13 , Heart ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0 , 0 ,0, 100.00 , 100.00 , 97.57 , 93.59 ,0, 0.22 , 0.57 ,0, 9 , 9 ,2012,7
"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2012/07/13 , Heart , 0 , 1 , 17 ,100,95, 75.71 , 95.65 , 89.49 , 82.49 , 1.12 , 2.60 , 11.86 , 25 , 25 , 70 , 0 , 0 , 0 , 100.00 , 100.00 , 97.96 , 94.57 , 86.15 , 0.06 , 0.17 , 0.90 , 3 , 3 ,2012,7
Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2012/07/13 , Heart ,0,0, 0 ,0,0, 100.00 ,0,0, 68.53 ,0,0, 0.38 ,0,0, 1 , 0 , 0 , 2 , 100.00 , 100.00 , 97.43 , 93.22 , 83.99 , 0.16 , 0.42 , 1.65 , 6 , 6 ,2012,7
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2012/07/13 , Heart , 7 , 11 , 15 ,94.81,91.85, 81.93 , 94.97 , 88.48 , 83.37 , 6.23 , 13.30 , 14.51 , 135 , 135 , 83 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
Loma Linda University Medical Center (CALL) , CALL , TX1 , 2012/07/13 , Heart , 1 , 2 , 5 ,95.45,90.91, 78.26 , 94.01 , 86.93 , 82.60 , 1.46 , 3.25 , 4.07 , 22 , 22 , 23 , 1 , 2 , 6 , 94.44 , 88.89 , 96.23 , 90.45 , 82.86 , 0.69 , 1.55 , 6.80 , 18 , 18 ,2012,7
Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2012/07/13 , Heart , 0 , 0 ,0,100,100,0, 99.16 , 97.90 ,0, 0.01 , 0.02 ,0, 1 , 1 ,0, 1 , 3 ,0, 97.06 , 90.50 , 96.04 , 89.99 ,0, 1.40 , 3.52 ,0, 34 , 34 ,2012,7
California Pacific Medical Center (CAPM) , CAPM , TX1 , 2012/07/13 , Heart , 1 , 4 , 4 ,96.88,86.31, 69.23 , 95.30 , 89.30 , 83.92 , 1.62 , 3.40 , 1.75 , 32 , 32 , 13 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2012/07/13 , Heart , 0 , 1 , 1 ,100,87.5, 66.67 , 95.62 , 89.42 , 86.32 , 0.36 , 0.73 , 0.35 , 8 , 8 , 3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7
University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2012/07/13 , Heart , 1 , 1 , 10 ,95.83,95.83, 72.97 , 96.58 , 91.73 , 79.47 , 0.72 , 1.76 , 6.69 , 24 , 24 , 37 ,0,0, 0 ,0,0,0,0, 85.93 ,0,0, 0.15 ,0,0,2012,7
