ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_ACT_C1M,GSR_AD_ACT_C1Y,GSR_AD_ACT_C3Y,GSR_AD_ADJ_C1M,GSR_AD_ADJ_C1Y,GSR_AD_ADJ_C3Y,GSR_AD_EXP_C1M,GSR_AD_EXP_C1Y,GSR_AD_EXP_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_ACT_C1M,GSR_P0_ACT_C1Y,GSR_P0_ADJ_C1M,GSR_P0_ADJ_C1Y,GSR_P0_ADJ_C3Y,GSR_P0_EXP_C1M,GSR_P0_EXP_C1Y,GSR_P0_EXP_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
Children's of Alabama (ALCH),ALCH,TX1,2021-01-04 18:00:00,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,92.8571428571429,92.8571428571429,96.0513536763123,93.1078232539011,88.5065360511809,0.55447383478861,0.929710380364001,1.37687217717271,14,14,2020,11
University of Alabama Hospital (ALUA),ALUA,TX1,2021-01-04 18:00:00,LI,13,20,41,95.4225352112676,92.7219061145721,85.9046563831012,97.1445315764997,92.7765476208868,85.7079726915043,8.05937663340265,18.5928052975119,40.8020277684833,284,284,292,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,11
UAMS Medical Center (ARUA),ARUA,TX1,2021-01-04 18:00:00,LI,1,4,8,98.9010989010989,95.1941391941392,89.7435897435898,97.1952675462677,92.8990083890189,86.4738201058593,2.59307413090724,6.23081761635872,10.4936243148573,91,91,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,11
Phoenix Children's Hospital (AZCH),AZCH,TX1,2021-01-04 18:00:00,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,94.4444444444444,95.0981885934,91.4858573515557,88.5065360511809,0.906557088021326,1.54948708486219,1.34096683584363,18,18,2020,11
Banner-University Medical Center Phoenix (AZGS),AZGS,TX1,2021-01-04 18:00:00,LI,10,29,28,96.4788732394366,88.5964489488621,81.8181818181818,96.5443781534186,91.3087751349566,84.3649207135331,9.86074623118191,22.9498921267791,23.4908333871066,284,284,154,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,11
Mayo Clinic Hospital (AZMC),AZMC,TX1,2021-01-04 18:00:00,LI,10,21,35,96.6887417218543,91.9575410612188,86.6412213740458,96.3093363062237,90.7276571955025,84.4802436355607,11.163561145385,25.5777575739589,41.5803738539498,302,302,262,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,11
St. Joseph's Hospital and Medical Center (AZSJ),AZSJ,TX1,2021-01-04 18:00:00,LI,1,4,3,98.0392156862745,91.9288645690834,84.2105263157895,96.6528289979183,91.5769852057788,86.4331704623415,1.71947475901418,3.9819512735388,2.65789394976059,51,51,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,11
Banner University Medical Center-Tucson (AZUA),AZUA,TX1,2021-01-04 18:00:00,LI,1,2,8,96,92,69.2307692307692,96.7362811263782,91.7815258232548,84.2222731921359,0.796377671236148,2.00290684343339,3.83150785009472,25,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,11
Rady Children's Hospital and Health Center (CACH),CACH,TX1,2021-01-04 18:00:00,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,89.0022200364746,0,0,0.862484092434166,0,0,2020,11
Childrens Hospital Los Angeles (CACL),CACL,TX1,2021-01-04 18:00:00,LI,0,1,0,100,75,0,95.1009869022333,87.9823715617028,0,0.203396723489055,0.39196296813809,0,4,4,0,2,3,3,96.7213114754098,95.0819672131148,95.638975752284,92.3403710811092,90.0317175443923,2.70684715489102,4.49655576434905,5.39595796973519,61,61,2020,11
Cedars-Sinai Medical Center (CACS),CACS,TX1,2021-01-04 18:00:00,LI,15,21,15,92.5373134328358,89.2905056997292,89.4570707070707,96.0612064530022,90.1755136383028,83.0786880745206,7.82084988056099,17.9706232171943,25.5046975077216,201,201,144,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,11
Scripps Green Hospital (CAGH),CAGH,TX1,2021-01-04 18:00:00,LI,3,6,12,95.2380952380952,90.0214695807401,85.9810022928267,96.9446464053476,92.2901880359162,86.0704786122264,1.8656249334287,4.46792320227429,12.0531997365702,63,63,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,11
Loma Linda University Medical Center (CALL),CALL,TX1,2021-01-04 18:00:00,LI,8,18,20,96.0975609756098,89.8728503943537,79.5918367346939,96.1272445935234,90.3136207299817,81.422921743893,7.92063411456992,18.2328696844898,17.4881654665874,205,205,98,0,0,0,100,100,92.7518578967905,87.5089786674971,0,0.0752424534689271,0.133428784546088,0,1,1,2020,11
UCSF Medical Center at Mission Bay (CAMB),CAMB,TX1,2021-01-04 18:00:00,LI,0,0,1,0,0,0,0,0,85.6255415786523,0,0,0.0246789986336551,0,0,1,1,1,3,95.6521739130435,95.6521739130435,95.6700383186544,92.4107414729548,89.4506960231689,1.00817708988112,1.7224413862171,2.138705809987,23,23,2020,11
