ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RC_A49_C,RCC_A64_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_TINA_R,D_OR_L,YEAR,MONTH
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 26.1 , 13.0 , 8.7 , 0.0 , 0.0 , 26.1 , 8.7 , 65.2 , 26.1 , 34.8 , 8.7 , 13.0 , 17.4 , 0.0 , 39.1 , 60.9 , 0.0 , 26.1 , 17.4 , 0.0 , 91.3 , 0.0 , 8.7 , 56.5 , 52.2 ,D,2012,7
St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 11.9 , 16.7 , 33.3 , 0.0 , 9.5 , 28.6 , 7.1 , 54.8 , 23.8 , 31.0 , 33.3 , 11.9 , 0.0 , 0.0 , 45.2 , 54.8 , 0.0 , 9.5 , 0.0 , 4.8 , 88.1 , 0.0 , 11.9 , 85.7 , 38.1 ,D,2012,7
"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2012/07/13 , Lung , 3.8 , 0.0 , 0.0 , 19.2 , 19.2 , 11.5 , 0.0 , 0.0 , 42.3 , 11.5 , 46.2 , 23.1 , 46.2 , 19.2 , 11.5 , 0.0 , 0.0 , 38.5 , 61.5 , 0.0 , 19.2 , 0.0 , 3.8 , 92.3 , 0.0 , 7.7 , 76.9 , 46.2 ,D,2012,7
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 6.7 , 0.0 , 46.7 , 0.0 , 0.0 , 33.3 , 0.0 , 66.7 , 33.3 , 13.3 , 20.0 , 33.3 , 0.0 , 0.0 , 53.3 , 46.7 , 0.0 , 6.7 , 0.0 , 20.0 , 86.7 , 0.0 , 13.3 , 73.3 , 46.7 ,D,2012,7
Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2012/07/13 , Lung , 0.0 , 33.3 , 0.0 , 66.7 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 66.7 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 ,D,2012,7
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 23.8 , 19.0 , 9.5 , 0.0 , 0.0 , 52.4 , 19.0 , 28.6 , 38.1 , 19.0 , 42.9 , 0.0 , 0.0 , 0.0 , 42.9 , 57.1 , 0.0 , 0.0 , 0.0 , 4.8 , 90.5 , 0.0 , 9.5 , 95.2 , 47.6 ,D,2012,7
University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 9.8 , 12.2 , 19.5 , 0.0 , 2.4 , 36.6 , 4.9 , 56.1 , 17.1 , 22.0 , 26.8 , 14.6 , 19.5 , 0.0 , 61.0 , 39.0 , 0.0 , 14.6 , 19.5 , 4.9 , 100.0 , 0.0 , 0.0 , 61.0 , 58.5 ,D,2012,7
Stanford University Medical Center (CASU) , CASU , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 17.8 , 13.3 , 20.0 , 0.0 , 2.2 , 55.6 , 2.2 , 40.0 , 22.2 , 33.3 , 35.6 , 8.9 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 4.4 , 0.0 , 17.8 , 91.1 , 0.0 , 8.9 , 77.8 , 48.9 ,D,2012,7
University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 3.5 , 7.0 , 38.6 , 0.0 , 12.3 , 33.3 , 5.3 , 49.1 , 21.1 , 28.1 , 45.6 , 5.3 , 0.0 , 0.0 , 49.1 , 50.9 , 0.0 , 1.8 , 0.0 , 1.8 , 98.2 , 0.0 , 1.8 , 96.5 , 50.9 ,D,2012,7
Keck Hospital of USC (CAUH) , CAUH , TX1 , 2012/07/13 , Lung , 0.0 , 0.0 , 0.0 , 14.3 , 28.6 , 0.0 , 0.0 , 14.3 , 42.9 , 28.6 , 14.3 , 28.6 , 57.1 , 14.3 , 0.0 , 0.0 , 0.0 , 28.6 , 71.4 , 0.0 , 28.6 , 0.0 , 28.6 , 100.0 , 0.0 , 0.0 , 42.9 , 57.1 ,D,2012,7
