,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A64_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_TST1_C,RCC_TST1_R,RCC_TST1A_C,RCC_TST1A_R,RCC_TST1B_C,RCC_TST2_C,RCC_TST2_R,RCC_TST2A_C,RCC_TST2A_R,RCC_TST2B_C,RCC_TST2B_R,RCC_TST3_C,RCC_TST3_R,RCC_ME11_C,RCC_ME11_R,RCC_ME15_C,RCC_ME15_R,RCC_ME21_C,RCC_ME21_R,RCC_ME31_C,RCC_ME31_R,RCC_ME6_C,RCC_ME6_R,RCC_PE6_C,RCC_PE6_R,RCC_PE11_C,RCC_PE11_R,RCC_PE15_C,RCC_PE15_R,RCC_PE21_C,RCC_PE21_R,RCC_PE31_C,RCC_PE31_R,RCC_TINA_C,RCC_TINA_R,RCC_N_C,D_OR_L,YEAR,MONTH,RCC_A65P_C,RCC_AU_C,RCC_BMI31P_C, RCC_TST1B_R
1,Hartford Hospital (CTHH),CTHH,TX1,2021-01-04 18:00:00,LI,0,0,0,5.2631578947,10.526315789,68.421052632,0,21.052631579,21.052631579,57.894736842,10.526315789,31.578947368,36.842105263,0,0,36.842105263,63.157894737,0,10.526315789,0,10.526315789,100,0,0,78.947368421,0,0,5.2631578947,4.3918918919,0,-,-,0,0,0,0,0,0,21.052631579,6.0810810811,31.578947368,14.189189189,26.315789474,25,5.2631578947,25,10.526315789,12.5,0,0.3378378378,0,0,0,0,0,0.6756756757,0,0.3378378378,0,0,19,D,2020,November,,,,
2,Yale New Haven Hospital (CTYN),CTYN,TX1,2021-01-04 18:00:00,LI,0,5.2631578947,0,0,26.315789474,52.631578947,5.2631578947,36.842105263,21.052631579,36.842105263,5.2631578947,26.315789474,31.578947368,0,0,26.315789474,73.684210526,0,10.526315789,0,21.052631579,94.736842105,0,5.2631578947,68.421052632,0,0,5.2631578947,4.3918918919,0,-,-,0,0,0,0,0,0,0,6.0810810811,15.789473684,14.189189189,15.789473684,25,42.105263158,25,15.789473684,12.5,0,0.3378378378,0,0,0,0,0,0.6756756757,0,0.3378378378,0,0,19,D,2020,November,,,,
3,Beth Israel Deaconess Medical Center (MABI),MABI,TX1,2021-01-04 18:00:00,LI,0,0,0,13.157894737,7.8947368421,63.157894737,7.8947368421,36.842105263,10.526315789,44.736842105,7.8947368421,26.315789474,28.947368421,2.6315789474,0,26.315789474,73.684210526,0,21.052631579,0,31.578947368,89.473684211,0,10.526315789,47.368421053,0,0,10.526315789,4.3918918919,0,-,-,0,0,0,0,0,0,5.2631578947,6.0810810811,2.6315789474,14.189189189,23.684210526,25,26.315789474,25,21.052631579,12.5,0,0.3378378378,0,0,0,0,0,0.6756756757,0,0.3378378378,0,0,38,D,2020,November,,,,
4,Boston Children's Hospital (MACH),MACH,TX1,2021-01-04 18:00:00,LI,33.333333333,16.666666667,33.333333333,16.666666667,0,0,0,50,0,50,83.333333333,16.666666667,0,0,0,66.666666667,33.333333333,0,0,0,33.333333333,100,0,0,66.666666667,0,0,0,4.3918918919,16.666666667,-,-,0,0,0,0,0,0,0,6.0810810811,0,14.189189189,33.333333333,25,0,25,0,12.5,16.666666667,0.3378378378,0,0,0,0,33.333333333,0.6756756757,0,0.3378378378,0,0,6,D,2020,November,,,,
5,Lahey Clinic Medical Center (MALC),MALC,TX1,2021-01-04 18:00:00,LI,0,0,0,0,22.807017544,59.649122807,1.7543859649,42.105263158,10.526315789,45.614035088,10.526315789,17.543859649,33.333333333,1.7543859649,0,22.807017544,77.192982456,0,7.0175438596,0,52.631578947,92.98245614,0,7.0175438596,40.350877193,0,0,3.5087719298,4.3918918919,0,-,-,0,0,0,0,0,0,3.5087719298,6.0810810811,15.789473684,14.189189189,28.070175439,25,28.070175439,25,8.7719298246,12.5,0,0.3378378378,0,0,0,0,0,0.6756756757,0,0.3378378378,0,0,57,D,2020,November,,,,
6,Massachusetts General Hospital (MAMG),MAMG,TX1,2021-01-04 18:00:00,LI,1.2987012987,0,0,7.7922077922,22.077922078,50.649350649,6.4935064935,27.272727273,14.285714286,51.948051948,10.38961039,27.272727273,31.168831169,0,0,35.064935065,64.935064935,0,25.974025974,0,20.779220779,100,0,0,53.246753247,0,0,3.8961038961,4.3918918919,0,-,-,0,0,0,0,0,0,6.4935064935,6.0810810811,11.688311688,14.189189189,20.779220779,25,22.077922078,25,14.285714286,12.5,0,0.3378378378,0,0,0,0,0,0.6756756757,1.2987012987,0.3378378378,0,0,77,D,2020,November,,,,
7,UMass Memorial Medical Center (MAUM),MAUM,TX1,2021-01-04 18:00:00,LI,0,0,0,3.75,18.75,55,10,35,11.25,43.75,7.5,27.5,32.5,0,0,36.25,63.75,0,17.5,0,32.5,95,0,5,50,0,0,2.5,4.3918918919,0,-,-,0,0,0,0,0,0,6.25,6.0810810811,17.5,14.189189189,28.75,25,27.5,25,10,12.5,0,0.3378378378,0,0,0,0,0,0.6756756757,0,0.3378378378,0,0,80,D,2020,November,,,,
8,Georgetown University Medical Center (DCGU),DCGU,TX1,2021-01-04 18:00:00,LI,5.7142857143,1.9047619048,4.7619047619,6.6666666667,16.19047619,36.19047619,8.5714285714,38.095238095,11.428571429,41.904761905,17.142857143,26.666666667,26.666666667,0.9523809524,0,29.523809524,70.476190476,0,17.142857143,0,21.904761905,97.142857143,0,2.8571428571,60.952380952,0,0,4.7619047619,3.1137724551,4.7619047619,-,-,0,0,0,0,0,0,2.8571428571,5.8682634731,17.142857143,12.335329341,18.095238095,26.107784431,20,24.311377246,17.142857143,14.251497006,2.8571428571,1.1976047904,0.9523809524,0.119760479,0,0.119760479,0.9523809524,0.5988023952,0,0.119760479,0,0,105,D,2020,November,,,,
9,Alfred I DuPont Hospital for Children (DEAI),DEAI,TX1,2021-01-04 18:00:00,LI,0,50,50,0,0,0,0,0,50,50,100,0,0,0,0,50,50,0,0,0,50,100,0,0,50,0,0,0,3.1137724551,50,-,-,0,0,0,0,0,0,0,5.8682634731,0,12.335329341,0,26.107784431,0,24.311377246,50,14.251497006,0,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,2,D,2020,November,,,,
10,Johns Hopkins Hospital (MDJH),MDJH,TX1,2021-01-04 18:00:00,LI,2.1978021978,3.2967032967,0,4.3956043956,21.978021978,48.351648352,3.2967032967,38.461538462,15.384615385,42.857142857,7.6923076923,21.978021978,28.571428571,5.4945054945,0,36.263736264,63.736263736,0,9.8901098901,0,26.373626374,95.604395604,0,4.3956043956,63.736263736,0,0,1.0989010989,3.1137724551,1.0989010989,-,-,0,0,0,0,0,0,5.4945054945,5.8682634731,10.989010989,12.335329341,26.373626374,26.107784431,31.868131868,24.311377246,16.483516484,14.251497006,2.1978021978,1.1976047904,0,0.119760479,0,0.119760479,0,0.5988023952,0,0.119760479,0,0,91,D,2020,November,,,,
