,Transplant Year,Age Group,N,Graft_Survival_Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
0,2019,<1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,54,72,0,19,1,1,8
1,2019,1-5 Years,159,94.26,98.08,164,78,58,17,11,71,0,9,0,3,0,62,8,0,0,11,261,78,125,0,21,5,4,11
2,2019,6-10 Years,140,94.88,99.29,156,87,38,24,7,40,0,32,2,1,0,55,5,0,9,12,178,56,92,0,16,1,2,2
3,2019,11-17 Years,385,93.08,98.61,440,227,141,56,16,87,2,131,0,1,0,137,12,3,20,47,399,156,175,0,17,6,4,14
4,2019,18-34,2238,92.09,97.79,2746,1257,999,361,129,154,119,1121,365,1,0,433,65,25,323,140,1960,921,976,0,214,35,20,48
5,2019,35-49,4712,91.23,94.57,5624,2623,1892,818,291,85,1126,1440,1131,12,0,556,551,66,506,151,4004,2277,1673,0,564,70,32,93
6,2019,50-64,7777,85.64,88.28,9142,4088,3298,1297,459,56,3138,1445,1653,33,2,883,998,93,566,275,9086,3413,2659,0,870,120,46,100
7,2019,65+,4644,80,82.04,5129,2256,1946,660,267,33,1998,615,1102,31,1,535,372,50,171,221,5606,1377,1039,0,501,33,23,36
8,2018,<1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,51,67,0,22,3,4,9
9,2018,1-5 Years,163,97.53,99.39,167,88,55,21,3,67,0,15,0,1,0,59,13,1,1,10,285,87,126,0,25,5,3,6
10,2018,6-10 Years,145,96.44,99.29,160,77,66,13,4,53,0,34,0,1,1,46,8,0,4,13,163,57,84,0,15,1,1,10
11,2018,11-17 Years,378,92.33,97.45,428,224,131,61,12,101,1,111,3,4,0,133,14,1,29,31,358,137,201,0,35,1,6,11
12,2018,18-34,2064,90.72,98.14,2509,1169,873,356,111,118,116,1028,346,7,0,410,64,31,259,130,1854,778,898,0,198,31,7,34
13,2018,35-49,4365,92.03,96.45,5225,2413,1825,721,266,74,944,1410,1085,15,0,504,488,64,463,178,3781,2134,1454,0,517,69,35,67
14,2018,50-64,7005,88.63,91.32,8259,3676,2958,1217,408,50,2721,1323,1502,43,0,861,910,70,505,274,8544,3053,2298,0,823,129,56,102
15,2018,65+,3979,82.28,85.06,4419,1876,1645,672,226,12,1663,511,960,29,1,549,328,40,139,187,5029,1244,956,0,449,45,12,38
16,2017,<1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,45,57,0,14,4,3,7
17,2017,1-5 Years,175,96.55,99.43,183,94,59,23,7,81,0,16,0,3,0,54,15,0,1,13,294,95,132,0,32,2,4,16
18,2017,6-10 Years,113,96.44,99.09,131,72,37,20,2,43,0,23,0,0,0,39,6,0,4,16,155,55,66,0,9,3,0,4
19,2017,11-17 Years,370,94.19,99.16,432,223,138,55,16,107,1,142,9,4,0,116,9,1,29,14,380,148,202,0,30,5,5,13
20,2017,18-34,1949,93.52,99.13,2414,1105,878,310,121,124,101,1019,334,5,0,355,65,26,259,126,1871,786,775,0,192,25,15,31
