,Unnamed: 0, CTR_CD, CTR_TY, RELEASE_DATE, ORG, RCC_A10_N, RCC_A17_N, RCC_A2_N, RCC_A34_N, RCC_A49_N, RCC_A64_N, RCC_A65P_N, RCC_AU_N, RCC_BAB_N, RCC_BAT_N, RCC_BA_N, RCC_BB_N, RCC_BMI20_N, RCC_BMI25_N, RCC_BMI30_N, RCC_BMI31P_N, RCC_BMINR_N, RCC_BO_N, RCC_BU_N, RCC_CAD_N, RCC_CAR_N, RCC_CHD_N, RCC_CLD_N, RCC_COD_N, RCC_CON_N, RCC_CYF_N, RCC_DEVS_N, RCC_DIA_N, RCC_ECO_N, RCC_FBP_N, RCC_GF_N, RCC_GLO_N, RCC_GM_N, RCC_GU_N, RCC_HOSPNR_N, RCC_HOSP_N, RCC_HYP_N, RCC_ICU_N, RCC_IDP_N, RCC_INRET_N, RCC_KIRET_N, RCC_LSNR_N, RCC_LS_N, RCC_LURET_N, RCC_ME11_N, RCC_ME15_N, RCC_ME21_N, RCC_ME31_N, RCC_ME6_N, RCC_MET_N, RCC_MIS_N, RCC_MNEO_N, RCC_NCC_N, RCC_NEC_N, RCC_NEO_N, RCC_NOTHOSP_N, RCC_NOTLS_N, RCC_N_N, RCC_OTH_N, RCC_OTK_N, RCC_PE11_N, RCC_PE15_N, RCC_PE21_N, RCC_PE31_N, RCC_PE6_N, RCC_POL_N, RCC_PPH_N, RCC_PRA79_N, RCC_PRA80_N, RCC_PRA9_N, RCC_PRAU_N, RCC_PTXN_N, RCC_PTXU_N, RCC_PTXY_N, RCC_RA_N, RCC_RB_N, RCC_RET_N, RCC_RH_N, RCC_RO_N, RCC_RU_N, RCC_RW_N, RCC_SGS_N, RCC_TINA_N, RCC_TST1A_N, RCC_TST1B_N, RCC_TST1_N, RCC_TST2A_N, RCC_TST2B_N, RCC_TST2_N, RCC_TST3_N, RCC_TUB_N, RCC_VAS_N, RCC_VHD_N,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_N,RCC_A17_N,RCC_A2_N,RCC_A34_N,RCC_A49_N,RCC_A64_N,RCC_A65P_N,RCC_AU_N,RCC_BAB_N,RCC_BAT_N,RCC_BA_N,RCC_BB_N,RCC_BMI20_N,RCC_BMI25_N,RCC_BMI30_N,RCC_BMI31P_N,RCC_BMINR_N,RCC_BO_N,RCC_BU_N,RCC_CAD_N,RCC_CAR_N,RCC_CHD_N,RCC_CLD_N,RCC_COD_N,RCC_CYF_N,RCC_DEVS_N,RCC_DIA_N,RCC_ECO_N,RCC_FBP_N,RCC_GF_N,RCC_GLO_N,RCC_GM_N,RCC_GU_N,RCC_HOSPNR_N,RCC_HOSP_N,RCC_HYP_N,RCC_ICU_N,RCC_IDP_N,RCC_INRET_N,RCC_KIRET_N,RCC_LSNR_N,RCC_LS_N,RCC_LURET_N,RCC_ME11_N,RCC_ME15_N,RCC_ME21_N,RCC_ME31_N,RCC_ME6_N,RCC_MET_N,RCC_MIS_N,RCC_MNEO_N,RCC_NCC_N,RCC_NEC_N,RCC_NEO_N,RCC_NOTHOSP_N,RCC_NOTLS_N,RCC_N_N,RCC_OTH_N,RCC_OTK_N,RCC_PE11_N,RCC_PE15_N,RCC_PE21_N,RCC_PE31_N,RCC_PE6_N,RCC_POL_N,RCC_PPH_N,RCC_PRA79_N,RCC_PRA80_N,RCC_PRA9_N,RCC_PRAU_N,RCC_PTXN_N,RCC_PTXU_N,RCC_PTXY_N,RCC_RA_N,RCC_RB_N,RCC_RET_N,RCC_RH_N,RCC_RO_N,RCC_RU_N,RCC_RW_N,RCC_SGS_N,RCC_TINA_N,RCC_TST1A_N,RCC_TST1B_N,RCC_TST1_N,RCC_TST2A_N,RCC_TST2B_N,RCC_TST2_N,RCC_TST3_N,RCC_TUB_N,RCC_VAS_N,RCC_VHD_N,RCC_CON_N,RCC_A69_N,RCC_A70P_N,RCC_BMI35_N,RCC_BMI40_N,RCC_BMI41P_N,RCC_TAST1_N,RCC_TAST2_N,RCC_TAST3_N,RCC_TAST4_N,RCC_TAST5_N,RCC_TAST6_N
0,Comment, Center Code, Center Type, Release Date, Organ, Age (Percent)2-10 | nation, Age (Percent)11-17 | nation, Age (Percent)<2 | nation, Age (Percent)18-34 | nation, Age (Percent)35-49 | nation, Age (Percent)50-64 | nation, Age (Percent)65+ | nation, Age (Percent)Unknown | nation, Blood Type (Percent)AB | nation, Primary  Disease (Percent)Biliary Atresia | nation, Blood Type (Percent)A  | nation, Blood Type (Percent)B  | nation, Body Mass Index (Percent)0-20 | nation, Body Mass Index (Percent)21-25 | nation, Body Mass Index (Percent)26-30 | nation, Body Mass Index (Percent)31+ | nation, Body Mass Index (Percent)Unknown | nation, Blood Type (Percent)O  | nation, Blood Type (Percent)Unknown | nation, Primary  Disease (Percent)Coronary Artery Disease | nation, Primary  Disease (Percent)Cardiomyopathy | nation, Primary  Disease (Percent)Congenital Heart Disease | nation, Primary  Disease (Percent)Cholestatic Liver Disease/Cirrhosis | nation, Primary  Disease (Percent)Congenital Disease | nation," Primary  Disease (Percent)Congenital, Familial, Metabolic  | nation", Primary  Disease (Percent)Cystic Fibrosis | nation," Recipient Mechanical, Ventilated or Organ-Perfusion Support Status at Transplant (Percent)Devices * | nation", Primary  Disease (Percent)Diabetes | nation, Primary  Disease (Percent)Emphysema/COPD | nation, Primary  Disease (Percent)Functional Bowel Problem | nation, Gender (Percent)Female | nation, Primary  Disease (Percent)Glomerular Diseases | nation, Gender (Percent)Male | nation, Gender (Percent)Unknown | nation, Recipient Medical Condition at Transplant (Percent)Unknown | nation, Recipient Medical Condition at Transplant (Percent)Hospitalized | nation, Primary  Disease (Percent)Hypertensive Nephrosclerosis | nation, Recipient Medical Condition at Transplant (Percent)ICU | nation, Primary  Disease (Percent)Idiopathic Pulmonary Fibrosis | nation, Primary  Disease (Percent)Retransplant/Graft Failure  | nation, Primary  Disease (Percent)Retransplant/Graft Failure | nation," Recipient Mechanical, Ventilated or Organ-Perfusion Support Status at Transplant (Percent)Unknown | nation"," Recipient Mechanical, Ventilated or Organ-Perfusion Support Status at Transplant (Percent)Other Support Mechanism | nation", Primary  Disease (Percent)Retransplant/Graft Failure | nation, Medical Urgency Status at Transplant (Percent)MELD 11-14 | nation, Medical Urgency Status at Transplant (Percent)MELD 15-20 | nation, Medical Urgency Status at Transplant (Percent)MELD 21-30 | nation, Medical Urgency Status at Transplant (Percent)MELD 31-40 | nation, Medical Urgency Status at Transplant (Percent)MELD 6-10 | nation, Primary  Disease (Percent)Metabolic Diseases | nation, Primary  Disease (Percent)Missing | nation, Primary  Disease (Percent)Malignant Neoplasms | nation, Primary  Disease (Percent)Non-Cholestatic Cirrhosis | nation, Primary  Disease (Percent)Acute Hepatic Necrosis | nation, Primary  Disease (Percent)Neoplasms | nation, Recipient Medical Condition at Transplant (Percent)Not Hospitalized | nation," Recipient Mechanical, Ventilated or Organ-Perfusion Support Status at Transplant (Percent)No Support Mechanism | nation", All (n) | nation, Primary  Disease (Percent)Other | nation, Primary  Disease (Percent)Other Kidney | nation, Medical Urgency Status at Transplant (Percent)PELD 11-14 | nation, Medical Urgency Status at Transplant (Percent)PELD 15-20 | nation, Medical Urgency Status at Transplant (Percent)PELD 21-30 | nation, Medical Urgency Status at Transplant (Percent)PELD 31 or greater | nation, Medical Urgency Status at Transplant (Percent)PELD  less than or equal 10 | nation, Primary  Disease (Percent)Polycystic Kidneys | nation, Primary  Disease (Percent)Idiopathic Pulmonary Arterial Hypertension | nation, Peak PRA Prior to Transplant (Percent)10-79Percent | nation, Peak PRA Prior to Transplant (Percent)80+ Percent | nation, Peak PRA Prior to Transplant (Percent)0-9Percent | nation, Peak PRA Prior to Transplant (Percent)Unknown | nation, Previous Transplant (Percent)No | nation, Previous Transplant (Percent)Unknown | nation, Previous Transplant (Percent)Yes | nation, Race (Percent)Asian | nation, Race (Percent)African-American | nation, Primary  Disease (Percent)Retransplant/Graft Failure | nation, Race (Percent)Hispanic/Latino | nation, Race (Percent)Other | nation, Race (Percent)Unknown | nation, Race (Percent)White | nation, Primary  Disease (Percent)Short Gut Syndrome | nation, Medical Urgency Status at Transplant (Percent)Temporarily Inactive | nation, Medical Urgency Status at Transplant (Percent) Status 1A | nation, Medical Urgency Status at Transplant (Percent) Status 1B  | nation, Medical Urgency Status at Transplant (Percent) Status 1   | nation, Medical Urgency Status at Transplant (Percent) Status 2A  | nation, Medical Urgency Status at Transplant (Percent) Status 2B | nation, Medical Urgency Status at Transplant (Percent) Status 2 | nation, Medical Urgency Status at Transplant (Percent) Status 3 | nation, Primary  Disease (Percent)Tubular and Interstitial Disease | nation, Primary  Disease (Percent)Renovascular & Vascular Diseases | nation, Primary  Disease (Percent)Valvular Heart Disease | nation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,University of Alabama Hospital (ALUA) , ALUA , TX1 , 2012/07/13 , Heart , 5.3 , 4.9 , 5.9 , 9.5 , 16.6 , 43.6 , 14.3 , 0.0 , 5.3 ,   , 40.4 , 14.0 , 20.7 , 31.7 , 28.0 , 18.1 , 1.6 , 40.3 , 0.0 , 32.2 , 54.8 , 9.7 ,   ,   ,   ,   , 42.4 ,   ,   ,   , 31.3 ,   , 68.7 , 0.0 , 0.4 , 14.6 ,   , 31.0 ,   ,   ,   , 0.2 , 32.2 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 54.0 , 25.2 , 2322 , 2.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.1 , 0.0 , 4.9 , 3.0 , 20.9 , 0.0 , 9.6 , 0.6 , 0.0 , 65.8 ,   , 0.0 , 61.6 , 32.5 ,   ,   ,   , 5.9 ,   ,   ,   , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Baptist Medical Center (ARBH) , ARBH , TX1 , 2012/07/13 , Heart , 5.3 , 4.9 , 5.9 , 9.5 , 16.6 , 43.6 , 14.3 , 0.0 , 5.3 ,   , 40.4 , 14.0 , 20.7 , 31.7 , 28.0 , 18.1 , 1.6 , 40.3 , 0.0 , 32.2 , 54.8 , 9.7 ,   ,   ,   ,   , 42.4 ,   ,   ,   , 31.3 ,   , 68.7 , 0.0 , 0.4 , 14.6 ,   , 31.0 ,   ,   ,   , 0.2 , 32.2 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 54.0 , 25.2 , 2322 , 2.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.1 , 0.0 , 4.9 , 3.0 , 20.9 , 0.0 , 9.6 , 0.6 , 0.0 , 65.8 ,   , 0.0 , 61.6 , 32.5 ,   ,   ,   , 5.9 ,   ,   ,   , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2012/07/13 , Heart , 5.3 , 4.9 , 5.9 , 9.5 , 16.6 , 43.6 , 14.3 , 0.0 , 5.3 ,   , 40.4 , 14.0 , 20.7 , 31.7 , 28.0 , 18.1 , 1.6 , 40.3 , 0.0 , 32.2 , 54.8 , 9.7 ,   ,   ,   ,   , 42.4 ,   ,   ,   , 31.3 ,   , 68.7 , 0.0 , 0.4 , 14.6 ,   , 31.0 ,   ,   ,   , 0.2 , 32.2 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 54.0 , 25.2 , 2322 , 2.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.1 , 0.0 , 4.9 , 3.0 , 20.9 , 0.0 , 9.6 , 0.6 , 0.0 , 65.8 ,   , 0.0 , 61.6 , 32.5 ,   ,   ,   , 5.9 ,   ,   ,   , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Phoenix Children's Hospital (AZCH) , AZCH , TX1 , 2012/07/13 , Heart , 5.3 , 4.9 , 5.9 , 9.5 , 16.6 , 43.6 , 14.3 , 0.0 , 5.3 ,   , 40.4 , 14.0 , 20.7 , 31.7 , 28.0 , 18.1 , 1.6 , 40.3 , 0.0 , 32.2 , 54.8 , 9.7 ,   ,   ,   ,   , 42.4 ,   ,   ,   , 31.3 ,   , 68.7 , 0.0 , 0.4 , 14.6 ,   , 31.0 ,   ,   ,   , 0.2 , 32.2 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 54.0 , 25.2 , 2322 , 2.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.1 , 0.0 , 4.9 , 3.0 , 20.9 , 0.0 , 9.6 , 0.6 , 0.0 , 65.8 ,   , 0.0 , 61.6 , 32.5 ,   ,   ,   , 5.9 ,   ,   ,   , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2012/07/13 , Heart , 5.3 , 4.9 , 5.9 , 9.5 , 16.6 , 43.6 , 14.3 , 0.0 , 5.3 ,   , 40.4 , 14.0 , 20.7 , 31.7 , 28.0 , 18.1 , 1.6 , 40.3 , 0.0 , 32.2 , 54.8 , 9.7 ,   ,   ,   ,   , 42.4 ,   ,   ,   , 31.3 ,   , 68.7 , 0.0 , 0.4 , 14.6 ,   , 31.0 ,   ,   ,   , 0.2 , 32.2 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 54.0 , 25.2 , 2322 , 2.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.1 , 0.0 , 4.9 , 3.0 , 20.9 , 0.0 , 9.6 , 0.6 , 0.0 , 65.8 ,   , 0.0 , 61.6 , 32.5 ,   ,   ,   , 5.9 ,   ,   ,   , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2012/07/13 , Heart , 5.3 , 4.9 , 5.9 , 9.5 , 16.6 , 43.6 , 14.3 , 0.0 , 5.3 ,   , 40.4 , 14.0 , 20.7 , 31.7 , 28.0 , 18.1 , 1.6 , 40.3 , 0.0 , 32.2 , 54.8 , 9.7 ,   ,   ,   ,   , 42.4 ,   ,   ,   , 31.3 ,   , 68.7 , 0.0 , 0.4 , 14.6 ,   , 31.0 ,   ,   ,   , 0.2 , 32.2 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 54.0 , 25.2 , 2322 , 2.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.1 , 0.0 , 4.9 , 3.0 , 20.9 , 0.0 , 9.6 , 0.6 , 0.0 , 65.8 ,   , 0.0 , 61.6 , 32.5 ,   ,   ,   , 5.9 ,   ,   ,   , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2012/07/13 , Heart , 5.3 , 4.9 , 5.9 , 9.5 , 16.6 , 43.6 , 14.3 , 0.0 , 5.3 ,   , 40.4 , 14.0 , 20.7 , 31.7 , 28.0 , 18.1 , 1.6 , 40.3 , 0.0 , 32.2 , 54.8 , 9.7 ,   ,   ,   ,   , 42.4 ,   ,   ,   , 31.3 ,   , 68.7 , 0.0 , 0.4 , 14.6 ,   , 31.0 ,   ,   ,   , 0.2 , 32.2 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 54.0 , 25.2 , 2322 , 2.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.1 , 0.0 , 4.9 , 3.0 , 20.9 , 0.0 , 9.6 , 0.6 , 0.0 , 65.8 ,   , 0.0 , 61.6 , 32.5 ,   ,   ,   , 5.9 ,   ,   ,   , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2012/07/13 , Heart , 5.3 , 4.9 , 5.9 , 9.5 , 16.6 , 43.6 , 14.3 , 0.0 , 5.3 ,   , 40.4 , 14.0 , 20.7 , 31.7 , 28.0 , 18.1 , 1.6 , 40.3 , 0.0 , 32.2 , 54.8 , 9.7 ,   ,   ,   ,   , 42.4 ,   ,   ,   , 31.3 ,   , 68.7 , 0.0 , 0.4 , 14.6 ,   , 31.0 ,   ,   ,   , 0.2 , 32.2 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 54.0 , 25.2 , 2322 , 2.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.1 , 0.0 , 4.9 , 3.0 , 20.9 , 0.0 , 9.6 , 0.6 , 0.0 , 65.8 ,   , 0.0 , 61.6 , 32.5 ,   ,   ,   , 5.9 ,   ,   ,   , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2012/07/13 , Heart , 5.3 , 4.9 , 5.9 , 9.5 , 16.6 , 43.6 , 14.3 , 0.0 , 5.3 ,   , 40.4 , 14.0 , 20.7 , 31.7 , 28.0 , 18.1 , 1.6 , 40.3 , 0.0 , 32.2 , 54.8 , 9.7 ,   ,   ,   ,   , 42.4 ,   ,   ,   , 31.3 ,   , 68.7 , 0.0 , 0.4 , 14.6 ,   , 31.0 ,   ,   ,   , 0.2 , 32.2 ,   ,   ,   ,   ,   ,   ,   , 0.1 ,   ,   ,   ,   , 54.0 , 25.2 , 2322 , 2.1 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 95.1 , 0.0 , 4.9 , 3.0 , 20.9 , 0.0 , 9.6 , 0.6 , 0.0 , 65.8 ,   , 0.0 , 61.6 , 32.5 ,   ,   ,   , 5.9 ,   ,   ,   , 1.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
