,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C, RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_TST1_C,RCC_TST1_R,RCC_TST1A_C,RCC_TST1A_R,RCC_TST1B_C, RCC_TST1B_R,RCC_TST2_C,RCC_TST2_R,RCC_TST2A_C,RCC_TST2A_R,RCC_TST2B_C,RCC_TST2B_R,RCC_TST3_C,RCC_TST3_R,RCC_ME11_C,RCC_ME11_R,RCC_ME15_C,RCC_ME15_R,RCC_ME21_C,RCC_ME21_R,RCC_ME31_C,RCC_ME31_R,RCC_ME6_C,RCC_ME6_R,RCC_PE6_C,RCC_PE6_R,RCC_PE11_C,RCC_PE11_R,RCC_PE15_C,RCC_PE15_R,RCC_PE21_C,RCC_PE21_R,RCC_PE31_C,RCC_PE31_R,RCC_TINA_C,RCC_TINA_R,D_OR_L,YEAR,MONTH
1,University of Alabama Hospital (ALUA) , ALUA , TX1 , 2012/07/13 , Heart , 15.6 , 15.6 , 0.0 , 3.1 , 9.4 , 6.3 , 0.0 , 3.1 , 37.5 , 15.6 , 43.8 , 37.5 , 21.9 , 18.8 , 12.5 , 9.4 , 0.0 , 37.5 , 62.5 , 0.0 , 6.3 , 6.3 , 15.6 , 90.6 , 0.0 , 9.4 , 71.9 ,   ,   , 53.1 , 59.5 , 43.8 , 36.1 , 3.1 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
2,Baptist Medical Center (ARBH) , ARBH , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 12.5 , 0.0 , 0.0 , 0.0 , 0.0 , 37.5 , 12.5 , 50.0 , 0.0 , 50.0 , 25.0 , 25.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 37.5 , 0.0 , 25.0 , 100.0 , 0.0 , 0.0 , 37.5 ,   ,   , 62.5 , 59.5 , 37.5 , 36.1 , 0.0 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
3,Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2012/07/13 , Heart , 32.3 , 19.4 , 48.4 , 0.0 , 0.0 , 0.0 , 0.0 , 9.7 , 32.3 , 12.9 , 45.2 , 74.2 , 22.6 , 0.0 , 3.2 , 0.0 , 0.0 , 54.8 , 45.2 , 0.0 , 71.0 , 0.0 , 22.6 , 80.6 , 0.0 , 19.4 , 6.5 ,   ,   , 93.5 , 59.5 , 0.0 , 36.1 , 6.5 , 4.4 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
4,Phoenix Children's Hospital (AZCH) , AZCH , TX1 , 2012/07/13 , Heart , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 ,   ,   , 100.0 , 62.2 , 0.0 , 24.3 , 0.0 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
5,Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 0.0 , 14.3 , 14.3 , 0.0 , 7.1 , 35.7 , 7.1 , 50.0 , 7.1 , 57.1 , 21.4 , 14.3 , 0.0 , 0.0 , 28.6 , 71.4 , 0.0 , 0.0 , 0.0 , 42.9 , 92.9 , 0.0 , 7.1 , 57.1 ,   ,   , 57.1 , 62.2 , 42.9 , 24.3 , 0.0 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
6,St. Joseph's Hospital and Medical Center (AZSJ) , AZSJ , TX1 , 2012/07/13 , Heart , 50.0 , 25.0 , 25.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 75.0 , 25.0 , 0.0 , 75.0 , 25.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 ,   ,   , 75.0 , 62.2 , 0.0 , 24.3 , 25.0 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
7,"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 21.4 , 0.0 , 21.4 , 0.0 , 0.0 , 35.7 , 14.3 , 50.0 , 28.6 , 28.6 , 35.7 , 7.1 , 0.0 , 0.0 , 50.0 , 50.0 , 0.0 , 42.9 , 0.0 , 21.4 , 92.9 , 0.0 , 7.1 , 35.7 ,   ,   , 50.0 , 62.2 , 14.3 , 24.3 , 35.7 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
8,Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2012/07/13 , Heart , 66.7 , 0.0 , 33.3 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 33.3 , 66.7 , 0.0 , 66.7 , 0.0 , 0.0 , 0.0 , 33.3 , 0.0 , 0.0 , 100.0 , 0.0 , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 , 0.0 , 0.0 ,   ,   , 100.0 , 62.2 , 0.0 , 24.3 , 0.0 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
9,Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2012/07/13 , Heart , 0.0 , 0.0 , 0.0 , 9.2 , 12.6 , 31.0 , 0.0 , 4.6 , 41.4 , 14.9 , 39.1 , 11.5 , 60.9 , 18.4 , 9.2 , 0.0 , 0.0 , 32.2 , 67.8 , 0.0 , 16.1 , 0.0 , 10.3 , 89.7 , 0.0 , 10.3 , 73.6 ,   ,   , 65.5 , 62.2 , 8.0 , 24.3 , 26.4 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
10,Loma Linda University Medical Center (CALL) , CALL , TX1 , 2012/07/13 , Heart , 25.0 , 8.3 , 25.0 , 8.3 , 16.7 , 0.0 , 0.0 , 4.2 , 45.8 , 20.8 , 29.2 , 50.0 , 20.8 , 16.7 , 12.5 , 0.0 , 0.0 , 41.7 , 58.3 , 0.0 , 33.3 , 0.0 , 0.0 , 91.7 , 0.0 , 8.3 , 66.7 ,   ,   , 45.8 , 62.2 , 41.7 , 24.3 , 12.5 , 13.5 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.0 , 0.0 ,D,2012,July
