Transplant Year,Age Group,Organ,N,Graft Survival Rate ,Patient Survival Rate ,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
2007,<1 Year,Kidney,1,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,180,55,77,0,20,2,4,5
2007,1-5 Years,Kidney,154,50.23,90.34,162,88,49,20,5,54,0,11,0,2,0,76,5,1,0,13,291,95,118,0,29,6,2,6
2007,6-10 Years,Kidney,131,44.26,84.95,141,75,36,23,7,34,0,32,0,0,0,52,5,0,6,12,146,50,63,0,12,0,1,1
2007,11-17 Years,Kidney,425,29.14,80.48,491,248,172,52,19,89,0,168,8,2,0,140,7,6,31,40,406,161,186,0,31,7,1,1
2007,18-34,Kidney,1847,42.51,76.32,2265,1074,809,292,90,107,137,892,356,4,1,350,59,39,210,110,1778,803,588,0,133,23,14,12
2007,35-49,Kidney,3887,47.22,59.25,4677,2141,1704,588,244,68,787,1219,989,8,1,495,469,101,371,169,4373,1705,964,0,321,53,17,20
2007,50-64,Kidney,5639,32.01,32.25,6519,2925,2451,805,338,26,2006,986,1310,19,3,735,730,141,305,258,7987,2078,1403,0,500,76,31,30
2007,65+,Kidney,2243,15.02,12.29,2377,1054,895,303,125,13,778,281,631,15,1,240,185,66,46,121,2413,515,352,0,189,13,7,12
2006,<1 Year,Kidney,7,0,0,7,3,2,2,0,4,0,0,0,0,0,3,0,0,0,0,168,52,71,0,17,1,0,6
2006,1-5 Years,Kidney,155,62.85,92.14,163,80,48,27,8,47,0,18,0,3,0,66,8,1,3,17,290,89,103,0,17,6,0,13
2006,6-10 Years,Kidney,128,44.2,77.71,138,79,38,19,2,29,0,39,1,4,0,48,6,1,4,6,144,53,62,0,9,2,0,4
2006,11-17 Years,Kidney,509,34.79,80.58,584,272,219,69,24,124,0,190,13,3,0,160,17,3,34,40,452,188,183,0,37,8,3,4
2006,18-34,Kidney,2031,42.92,76.26,2521,1185,897,322,117,115,156,983,345,7,0,396,52,45,276,146,1974,821,624,0,148,29,11,18
2006,35-49,Kidney,3901,47.95,61.76,4771,2182,1691,654,244,61,788,1244,981,11,0,535,431,96,450,174,4566,1729,1026,0,308,66,20,30
2006,50-64,Kidney,5713,32.01,33.75,6523,2817,2513,886,307,35,1882,1027,1342,19,0,723,758,162,322,253,8046,2184,1307,1,467,88,32,32
2006,65+,Kidney,2238,14.78,13.27,2388,1047,946,275,120,7,716,321,626,19,0,280,178,71,61,109,2421,471,322,0,178,22,10,8
2005,<1 Year,Kidney,3,0,0,4,2,2,0,0,1,0,0,0,0,0,2,0,0,0,1,167,57,56,0,11,0,0,4
2005,1-5 Years,Kidney,148,58.57,91.79,155,76,56,17,6,56,0,22,1,2,0,48,12,2,3,9,273,82,112,0,13,5,3,10
2005,6-10 Years,Kidney,143,56.25,93.31,155,80,51,17,7,41,0,38,3,1,0,53,6,1,2,10,193,41,57,0,13,0,0,3
2005,11-17 Years,Kidney,498,29.33,79.7,578,287,199,74,18,128,2,197,4,2,0,146,12,6,34,47,475,181,163,0,25,6,5,9
2005,18-34,Kidney,2058,43.54,76.02,2492,1174,908,320,90,79,165,995,345,5,1,409,49,70,223,151,2015,883,552,1,160,22,11,15
2005,35-49,Kidney,3889,45.58,61.58,4751,2163,1737,618,233,66,816,1186,860,10,0,620,455,125,437,176,4714,1695,980,0,295,54,33,30
2005,50-64,Kidney,5391,33.01,35.55,6167,2704,2373,785,305,22,1872,936,1108,17,0,702,776,177,322,235,7768,1887,1249,0,478,78,40,35
2005,65+,Kidney,2067,13.48,12.94,2183,921,861,290,111,9,670,268,555,15,0,287,141,73,40,125,2215,423,330,0,153,19,11,9
2004,<1 Year,Kidney,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,135,58,55,0,14,2,2,7
2004,1-5 Years,Kidney,148,58.56,89.29,152,73,54,19,6,59,0,13,0,5,0,49,6,1,2,17,281,83,103,0,17,3,3,11
2004,6-10 Years,Kidney,122,44.21,90.11,130,61,50,16,3,36,0,43,1,0,0,26,6,1,4,13,147,47,58,0,13,1,0,4
2004,11-17 Years,Kidney,422,33.68,78.53,479,236,165,61,17,91,0,172,4,0,0,107,20,4,32,49,409,160,168,0,23,8,0,4
2004,18-34,Kidney,2166,42.41,75.55,2671,1271,929,350,121,109,219,1070,339,3,0,401,36,77,276,141,2092,866,597,0,150,32,22,11
2004,35-49,Kidney,3934,46.16,61.43,4834,2274,1763,610,187,69,881,1228,850,10,0,509,428,171,472,216,4984,1533,1012,1,314,52,30,20
2004,50-64,Kidney,5254,31.56,35.13,5882,2590,2237,774,281,31,1782,954,1031,16,0,670,675,222,275,226,7306,1799,1157,0,427,81,29,22
2004,65+,Kidney,1762,16.06,14.45,1857,806,732,234,85,12,569,239,444,14,0,226,126,88,47,92,1890,378,264,0,123,24,5,5
2003,1-5 Years,Kidney,145,53.81,91.57,0,0,0,0,0,,,,,,,,,,,,156,27,61,0,8,3,2,4
2003,6-10 Years,Kidney,138,41.84,90.83,155,64,64,21,6,70,0,14,0,1,0,43,8,0,6,13,276,69,90,0,14,4,3,5
2003,11-17 Years,Kidney,432,38.22,80.75,149,72,50,21,6,52,0,41,0,1,0,27,4,0,8,16,169,52,53,0,9,2,3,2
