ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,GSR_AD_OBS_C1M,GSR_AD_OBS_C1Y,GSR_AD_OBS_C3Y,GSR_AD_N_C1M,GSR_AD_N_C1Y,GSR_AD_N_C3Y,GSR_P0_OBS_C1M,GSR_P0_OBS_C1Y,GSR_P0_OBS_C3Y,GSR_P0_N_C1M,GSR_P0_N_C1Y,YEAR,MONTH
University of South Alabama Medical Center (ALAM) , ALAM , TX1 , 2012/07/13 , Kidney ,0,0, 6 ,0,0, 21 ,0,0,0,0,0,2012,7
University of Alabama Hospital (ALUA) , ALUA , TX1 , 2012/07/13 , Kidney , 8 , 29 , 71 , 573 , 573 , 659 , 0 , 3 , 6 , 53 , 53 ,2012,7
Baptist Medical Center (ARBH) , ARBH , TX1 , 2012/07/13 , Kidney , 3 , 8 , 18 , 86 , 86 , 93 ,0,0,0,0,0,2012,7
Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2012/07/13 , Kidney , 0 , 0 ,0, 2 , 2 ,0, 0 , 1 , 2 , 19 , 19 ,2012,7
UAMS Medical Center (ARUA) , ARUA , TX1 , 2012/07/13 , Kidney , 3 , 6 , 30 , 140 , 140 , 155 ,0,0,0,0,0,2012,7
Phoenix Children's Hospital (AZCH) , AZCH , TX1 , 2012/07/13 , Kidney , 0 , 0 ,0, 2 , 2 ,0, 0 , 0 , 0 , 13 , 13 ,2012,7
Banner Good Samaritan Medical Center (AZGS) , AZGS , TX1 , 2012/07/13 , Kidney , 4 , 15 , 27 , 253 , 253 , 316 , 0 , 0 , 0 , 1 , 1 ,2012,7
Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2012/07/13 , Kidney , 7 , 22 , 45 , 467 , 467 , 365 , 0 , 0 ,0, 2 , 2 ,2012,7
"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2012/07/13 , Kidney , 1 , 9 , 20 , 187 , 187 , 143 , 0 , 0 , 0 , 5 , 5 ,2012,7
Rady Children's Hospital and Health Center (CACH) , CACH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 0 , 8 , 8 , 4 , 0 , 0 , 2 , 19 , 19 ,2012,7
Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2012/07/13 , Kidney , 1 , 1 , 0 , 11 , 11 , 7 , 0 , 1 , 5 , 44 , 44 ,2012,7
Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2012/07/13 , Kidney , 5 , 11 , 59 , 287 , 287 , 326 , 2 , 2 , 1 , 21 , 21 ,2012,7
Scripps Green Hospital (CAGH) , CAGH , TX1 , 2012/07/13 , Kidney , 1 , 4 , 7 , 94 , 94 , 70 ,0,0,0,0,0,2012,7
University of California Irvine Medical Center (CAIM) , CAIM , TX1 , 2012/07/13 , Kidney , 3 , 7 , 13 , 91 , 91 , 74 , 0 , 0 , 2 , 5 , 5 ,2012,7
Kaiser Permanente-San Francisco Medical Center (CAKP) , CAKP , TX1 , 2012/07/13 , Kidney ,0,0, 1 ,0,0, 8 ,0,0,0,0,0,2012,7
Harbor UCLA Medical Center (CALA) , CALA , TX1 , 2012/07/13 , Kidney , 1 , 3 , 7 , 56 , 56 , 74 ,0,0, 0 ,0,0,2012,7
St Mary Medical Center (CALB) , CALB , TX1 , 2012/07/13 , Kidney ,0,0, 2 ,0,0, 15 ,0,0,0,0,0,2012,7
Loma Linda University Medical Center (CALL) , CALL , TX1 , 2012/07/13 , Kidney , 5 , 9 , 24 , 228 , 228 , 205 , 0 , 1 , 4 , 37 , 37 ,2012,7
Santa Rosa Memorial Hospital (CAMH) , CAMH , TX1 , 2012/07/13 , Kidney ,0,0, 0 ,0,0, 4 ,0,0,0,0,0,2012,7
Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2012/07/13 , Kidney , 0 , 0 , 2 , 14 , 14 , 11 , 1 , 2 , 2 , 57 , 57 ,2012,7
California Pacific Medical Center (CAPM) , CAPM , TX1 , 2012/07/13 , Kidney , 2 , 14 , 49 , 439 , 439 , 454 , 0 , 0 ,0, 1 , 1 ,2012,7
Riverside Community Hospital (CARC) , CARC , TX1 , 2012/07/13 , Kidney , 2 , 4 , 16 , 54 , 54 , 86 ,0,0,0,0,0,2012,7
Arrowhead Regional Medical Center (CASB) , CASB , TX1 , 2012/07/13 , Kidney , 0 , 0 , 3 , 2 , 2 , 13 ,0,0,0,0,0,2012,7
University of California San Diego Medical Center (CASD) , CASD , TX1 , 2012/07/13 , Kidney , 5 , 11 , 31 , 226 , 226 , 230 ,0,0,0,0,0,2012,7
University of California San Francisco Medical Center (CASF) , CASF , TX1 , 2012/07/13 , Kidney , 9 , 24 , 84 , 744 , 744 , 788 , 2 , 3 , 8 , 46 , 46 ,2012,7
Sutter Memorial Hospital (CASG) , CASG , TX1 , 2012/07/13 , Kidney , 4 , 6 , 9 , 50 , 50 , 42 ,0,0,0,0,0,2012,7
Sharp Memorial Hospital (CASH) , CASH , TX1 , 2012/07/13 , Kidney , 3 , 5 , 27 , 201 , 201 , 173 ,0,0,0,0,0,2012,7
Saint Joseph Hospital (CASJ) , CASJ , TX1 , 2012/07/13 , Kidney , 0 , 2 , 1 , 64 , 64 , 89 ,0,0, 0 ,0,0,2012,7
University of California Davis Medical Center (CASM) , CASM , TX1 , 2012/07/13 , Kidney , 15 , 27 , 29 , 463 , 463 , 288 , 0 , 0 , 2 , 12 , 12 ,2012,7
Stanford University Medical Center (CASU) , CASU , TX1 , 2012/07/13 , Kidney , 2 , 5 , 11 , 225 , 225 , 182 ,0,0,0,0,0,2012,7
St. Vincent Medical Center (CASV) , CASV , TX1 , 2012/07/13 , Kidney , 4 , 8 , 54 , 141 , 141 , 342 ,0,0,0,0,0,2012,7
University of California at Los Angeles Medical Center (CAUC) , CAUC , TX1 , 2012/07/13 , Kidney , 10 , 25 , 59 , 640 , 640 , 645 , 1 , 1 , 4 , 38 , 38 ,2012,7
Keck Hospital of USC (CAUH) , CAUH , TX1 , 2012/07/13 , Kidney , 2 , 5 , 12 , 200 , 200 , 149 ,0,0,0,0,0,2012,7
Western Medical Center (CAWM) , CAWM , TX1 , 2012/07/13 , Kidney , 1 , 1 , 7 , 27 , 27 , 39 ,0,0,0,0,0,2012,7
Children's Hospital Colorado (COCH) , COCH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 0 , 1 , 1 , 3 , 0 , 0 , 6 , 22 , 22 ,2012,7
Centura Porter Adventist Hospital (COPM) , COPM , TX1 , 2012/07/13 , Kidney , 2 , 5 , 16 , 194 , 194 , 142 ,0,0,0,0,0,2012,7
Presbyterian/St Lukes Medical Center (COSL) , COSL , TX1 , 2012/07/13 , Kidney , 3 , 8 , 9 , 129 , 129 , 98 , 0 , 0 ,0, 1 , 1 ,2012,7
University of Colorado Hospital/Health Science Center (COUC) , COUC , TX1 , 2012/07/13 , Kidney , 8 , 25 , 30 , 360 , 360 , 274 , 0 , 0 ,0, 2 , 2 ,2012,7
Hartford Hospital (CTHH) , CTHH , TX1 , 2012/07/13 , Kidney , 2 , 7 , 11 , 128 , 128 , 121 , 0 , 0 , 2 , 3 , 3 ,2012,7
Yale New Haven Hospital (CTYN) , CTYN , TX1 , 2012/07/13 , Kidney , 6 , 8 , 36 , 258 , 258 , 202 , 0 , 0 , 1 , 4 , 4 ,2012,7
Children's National Medical Center (DCCH) , DCCH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 2 , 6 , 6 , 4 , 0 , 1 , 4 , 28 , 28 ,2012,7
Georgetown University Medical Center (DCGU) , DCGU , TX1 , 2012/07/13 , Kidney , 1 , 8 , 9 , 148 , 148 , 84 , 0 , 0 , 0 , 2 , 2 ,2012,7
Howard University Hospital (DCHU) , DCHU , TX1 , 2012/07/13 , Kidney , 1 , 3 , 6 , 14 , 14 , 18 ,0,0,0,0,0,2012,7
Washington Hospital Center (DCWH) , DCWH , TX1 , 2012/07/13 , Kidney , 0 , 11 , 33 , 286 , 286 , 252 ,0,0,0,0,0,2012,7
Walter Reed National Military Medical Center at Bethesda (DCWR) , DCWR , TX1 , 2012/07/13 , Kidney , 1 , 2 , 4 , 55 , 55 , 63 ,0,0,0,0,0,2012,7
Alfred I DuPont Hospital for Children (DEAI) , DEAI , TX1 , 2012/07/13 , Kidney ,0,0, 0 ,0,0, 1 , 0 , 0 , 1 , 7 , 7 ,2012,7
Christiana Care Health Services (DECC) , DECC , TX1 , 2012/07/13 , Kidney , 0 , 0 , 4 , 55 , 55 , 33 ,0,0,0,0,0,2012,7
All Children's Hospital (FLAC) , FLAC , TX1 , 2012/07/13 , Kidney ,0,0, 0 ,0,0, 1 ,0,0, 0 ,0,0,2012,7
Florida Hospital Medical Center (FLFH) , FLFH , TX1 , 2012/07/13 , Kidney , 4 , 13 , 47 , 381 , 381 , 362 , 0 , 0 , 3 , 4 , 4 ,2012,7
Gulf Coast Medical Center (FLFR) , FLFR , TX1 , 2012/07/13 , Kidney , 6 , 8 , 13 , 92 , 92 , 116 ,0,0,0,0,0,2012,7
Halifax Medical Center (FLHM) , FLHM , TX1 , 2012/07/13 , Kidney , 0 , 2 , 3 , 26 , 26 , 4 ,0,0,0,0,0,2012,7
Jackson Memorial Hospital University of Miami School of Medicine (FLJM) , FLJM , TX1 , 2012/07/13 , Kidney , 10 , 39 , 59 , 592 , 592 , 485 , 0 , 1 , 8 , 27 , 27 ,2012,7
Shands Jacksonville (FLJT) , FLJT , TX1 , 2012/07/13 , Kidney , 4 , 10 , 19 , 68 , 68 , 83 , 0 , 0 , 1 , 2 , 2 ,2012,7
Mayo Clinic Florida (FLSL) , FLSL , TX1 , 2012/07/13 , Kidney , 3 , 7 , 25 , 239 , 239 , 197 ,0,0,0,0,0,2012,7
Tampa General Hospital (FLTG) , FLTG , TX1 , 2012/07/13 , Kidney , 14 , 33 , 37 , 491 , 491 , 423 , 2 , 2 , 5 , 21 , 21 ,2012,7
Shands Hospital at The University of Florida (FLUF) , FLUF , TX1 , 2012/07/13 , Kidney , 16 , 30 , 61 , 328 , 328 , 391 , 0 , 2 , 1 , 28 , 28 ,2012,7
Children's Healthcare of Atlanta at Egleston (GAEH) , GAEH , TX1 , 2012/07/13 , Kidney , 0 , 0 , 0 , 5 , 5 , 6 , 0 , 1 , 8 , 67 , 67 ,2012,7
Emory University Hospital (GAEM) , GAEM , TX1 , 2012/07/13 , Kidney , 6 , 17 , 37 , 428 , 428 , 334 ,0,0,0,0,0,2012,7
Georgia Health Sciences Medical Center (GAMC) , GAMC , TX1 , 2012/07/13 , Kidney , 3 , 9 , 31 , 188 , 188 , 205 , 0 , 0 , 2 , 7 , 7 ,2012,7
Piedmont Hospital (GAPH) , GAPH , TX1 , 2012/07/13 , Kidney , 1 , 9 , 26 , 324 , 324 , 283 ,0,0, 0 ,0,0,2012,7
Hawaii Medical Center East (HISF) , HISF , TX1 , 2012/07/13 , Kidney , 2 , 5 , 13 , 111 , 111 , 115 , 0 , 0 , 2 , 3 , 3 ,2012,7
Iowa Methodist Medical Center (IAIM) , IAIM , TX1 , 2012/07/13 , Kidney , 3 , 5 , 9 , 57 , 57 , 41 , 0 , 0 , 0 , 1 , 1 ,2012,7
University of Iowa Hospitals and Clinics (IAIV) , IAIV , TX1 , 2012/07/13 , Kidney , 2 , 6 , 11 , 161 , 161 , 110 , 0 , 0 , 3 , 28 , 28 ,2012,7
Iowa City VA Medical Center (IAIV) , IAIV , VA1 , 2012/07/13 , Kidney , 0 , 2 , 9 , 65 , 65 , 64 ,0,0,0,0,0,2012,7
Mercy Medical Center-Des Moines (IAMH) , IAMH , TX1 , 2012/07/13 , Kidney , 1 , 3 , 5 , 53 , 53 , 52 ,0,0, 0 ,0,0,2012,7
Advocate Christ Medical Center (ILCH) , ILCH , TX1 , 2012/07/13 , Kidney , 0 , 0 ,0, 3 , 3 ,0,0,0,0,0,0,2012,7
Children's Memorial Hospital (ILCM) , ILCM , TX1 , 2012/07/13 , Kidney , 0 , 0 , 1 , 5 , 5 , 8 , 1 , 2 , 3 , 40 , 40 ,2012,7
Loyola University Medical Center (ILLU) , ILLU , TX1 , 2012/07/13 , Kidney , 4 , 8 , 28 , 143 , 143 , 176 , 1 , 1 , 2 , 8 , 8 ,2012,7
Memorial Medical Center (ILMM) , ILMM , TX1 , 2012/07/13 , Kidney , 0 , 2 , 14 , 43 , 43 , 59 ,0,0,0,0,0,2012,7
Northwestern Memorial Hospital (ILNM) , ILNM , TX1 , 2012/07/13 , Kidney , 15 , 44 , 66 , 610 , 610 , 582 , 0 , 0 ,0, 2 , 2 ,2012,7
Rush University Medical Center (ILPL) , ILPL , TX1 , 2012/07/13 , Kidney , 5 , 19 , 61 , 227 , 227 , 274 , 0 , 0 , 1 , 4 , 4 ,2012,7
OSF Saint Francis Medical Center (ILSF) , ILSF , TX1 , 2012/07/13 , Kidney , 1 , 3 , 12 , 127 , 127 , 82 , 0 , 0 , 0 , 5 , 5 ,2012,7
University of Chicago Medical Center (ILUC) , ILUC , TX1 , 2012/07/13 , Kidney , 5 , 12 , 36 , 159 , 159 , 208 , 1 , 1 , 2 , 8 , 8 ,2012,7
University of Illinois Medical Center (ILUI) , ILUI , TX1 , 2012/07/13 , Kidney , 9 , 17 , 25 , 304 , 304 , 204 , 0 , 3 , 3 , 25 , 25 ,2012,7
Indiana University Health (INIM) , INIM , TX1 , 2012/07/13 , Kidney , 7 , 19 , 66 , 480 , 480 , 484 , 3 , 4 , 2 , 38 , 38 ,2012,7
Lutheran Hospital of Fort Wayne (INLH) , INLH , TX1 , 2012/07/13 , Kidney , 1 , 1 , 6 , 67 , 67 , 37 ,0,0,0,0,0,2012,7
St Vincent Hospital and Health Care Center (INSV) , INSV , TX1 , 2012/07/13 , Kidney , 2 , 4 ,0, 90 , 90 ,0, 0 , 0 ,0, 1 , 1 ,2012,7
"Via Christi Regional Medical Center, St Francis Campus (KSFW) ", KSFW , TX1 , 2012/07/13 , Kidney , 3 , 5 , 10 , 71 , 71 , 85 , 1 , 1 ,0, 3 , 3 ,2012,7
University of Kansas Hospital (KSUK) , KSUK , TX1 , 2012/07/13 , Kidney , 10 , 21 , 32 , 238 , 238 , 210 , 0 , 0 ,0, 2 , 2 ,2012,7
Jewish Hospital (KYJH) , KYJH , TX1 , 2012/07/13 , Kidney , 6 , 13 , 21 , 211 , 211 , 188 ,0,0, 0 ,0,0,2012,7
