Transplant Year,Age Group,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
2021,< 1 Year,,,,,,,,,,,,
2021,1-5 Years,184,76,0,8,0,4,0,77,11,0,0,8
2021,6-10 Years,138,50,0,19,0,1,0,41,11,0,5,11
2021,11-17 Years,497,119,0,146,1,3,0,153,10,2,21,42
2021,18-34 Years,2975,154,141,1190,417,4,9,531,52,29,332,116
2021,35-49 Years,6115,87,1211,1536,1319,11,13,695,485,71,508,179
2021,50-64 Years,9492,60,3323,1371,1803,33,15,999,906,118,581,283
2021,65 +,5269,33,2109,580,1110,40,8,609,349,34,181,216
2020,< 1 Year,,,,,,,,,,,,
2020,1-5 Years,184,87,1,10,0,1,0,59,11,1,0,14
2020,6-10 Years,129,36,0,26,0,0,0,50,8,0,1,8
2020,11-17 Years,397,92,0,121,3,0,0,118,9,5,17,32
2020,18-34 Years,2639,115,130,1076,366,2,1,467,58,33,256,135
2020,35-49 Years,5527,66,1080,1457,1128,9,2,576,483,85,489,152
2020,50-64 Years,8895,63,3122,1305,1620,33,9,920,908,100,555,260
2020,65 +,5046,43,1939,622,1044,38,7,551,362,56,157,227
2019,< 1 Year,,,,,,,,,,,,
2019,1-5 Years,164,71,0,9,0,3,0,62,8,0,0,11
2019,6-10 Years,156,40,0,32,2,1,0,55,5,0,9,12
2019,11-17 Years,440,87,2,131,0,1,0,137,12,3,20,47
2019,18-34 Years,2746,154,119,1121,365,1,0,433,65,25,323,140
2019,35-49 Years,5624,85,1126,1440,1131,12,0,556,551,66,506,151
2019,50-64 Years,9142,56,3138,1445,1653,33,2,883,998,93,566,275
2019,65 +,5129,33,1998,615,1102,31,1,535,372,50,171,221
2018,< 1 Year,,,,,,,,,,,,
2018,1-5 Years,167,67,0,15,0,1,0,59,13,1,1,10
2018,6-10 Years,160,53,0,34,0,1,1,46,8,0,4,13
2018,11-17 Years,428,101,1,111,3,4,0,133,14,1,29,31
2018,18-34 Years,2509,118,116,1028,346,7,0,410,64,31,259,130
2018,35-49 Years,5225,74,944,1410,1085,15,0,504,488,64,463,178
2018,50-64 Years,8259,50,2721,1323,1502,43,0,861,910,70,505,274
2018,65 +,4419,12,1663,511,960,29,1,549,328,40,139,187
2017,< 1 Year,,,,,,,,,,,,
2017,1-5 Years,183,81,0,16,0,3,0,54,15,0,1,13
2017,6-10 Years,131,43,0,23,0,0,0,39,6,0,4,16
2017,11-17 Years,432,107,1,142,9,4,0,116,9,1,29,14
2017,18-34 Years,2414,124,101,1019,334,5,0,355,65,26,259,126
2017,35-49 Years,5086,62,838,1407,1109,11,0,500,462,60,488,149
2017,50-64 Years,7937,56,2562,1232,1474,37,0,795,920,78,503,280
2017,65 +,3666,17,1371,477,817,14,0,411,272,35,110,142
2016,< 1 Year,,,,,,,,,,,,
2016,1-5 Years,158,70,0,13,0,0,0,53,9,0,2,11
2016,6-10 Years,133,51,1,27,0,2,0,39,4,1,2,6
2016,11-17 Years,437,111,0,127,4,1,0,130,8,3,25,28
2016,18-34 Years,2480,129,103,1010,346,7,0,386,59,19,287,134
2016,35-49 Years,4957,73,835,1316,1043,10,0,509,458,71,500,142
2016,50-64 Years,7389,50,2436,1135,1416,27,0,760,789,62,479,235
2016,65 +,3506,20,1296,433,775,25,0,408,241,38,127,143
2015,< 1 Year,2,0,0,0,0,0,0,1,1,0,0,0
2015,1-5 Years,163,69,0,14,0,3,0,54,10,0,0,13
2015,6-10 Years,145,47,1,32,1,1,0,48,2,0,6,7
2015,11-17 Years,408,104,1,126,4,1,0,122,8,1,19,22
2015,18-34 Years,2519,154,86,1060,338,6,0,391,55,33,294,102
2015,35-49 Years,4834,63,768,1277,1114,11,0,474,414,73,529,111
2015,50-64 Years,6736,39,2211,1015,1330,30,0,681,691,76,465,198
2015,65 +,3071,15,1175,351,691,26,0,324,217,47,113,112
2014,< 1 Year,3,1,0,0,0,0,0,2,0,0,0,0
2014,1-5 Years,151,72,0,11,0,2,0,49,6,0,2,9
2014,6-10 Years,128,43,0,24,1,2,0,33,6,0,6,13
2014,11-17 Years,434,99,1,151,1,3,0,114,7,2,35,21
2014,18-34 Years,2068,95,120,845,236,6,0,320,53,30,237,126
2014,35-49 Years,4363,53,820,1162,878,8,0,378,437,63,435,129
2014,50-64 Years,6645,31,2126,1103,1236,20,0,683,753,87,403,203
2014,65 +,3316,18,1219,417,753,25,0,342,237,43,113,149
2013,< 1 Year,,,,,,,,,,,,
2013,1-5 Years,195,81,0,17,0,3,0,64,13,1,3,13
2013,6-10 Years,147,59,0,29,1,2,0,35,10,0,4,7
2013,11-17 Years,409,104,1,140,2,0,0,100,14,3,21,24
2013,18-34 Years,2070,112,98,883,239,6,1,313,58,29,215,116
2013,35-49 Years,4123,55,780,1106,820,6,0,365,406,70,377,138
2013,50-64 Years,6850,50,2245,1097,1290,24,1,622,793,106,390,232
2013,65 +,3102,17,1121,361,730,22,0,314,250,53,78,156
2012,< 1 Year,2,1,0,0,0,0,0,1,0,0,0,0
2012,1-5 Years,187,79,0,17,1,4,0,59,12,2,0,13
2012,6-10 Years,139,43,0,27,1,1,0,45,6,0,6,10
2012,11-17 Years,430,105,1,129,8,0,0,119,8,0,20,40
2012,18-34 Years,2151,102,90,939,283,6,0,325,51,21,205,129
2012,35-49 Years,4180,54,734,1126,835,9,0,408,441,59,391,123
2012,50-64 Years,6445,36,2090,1038,1352,21,0,556,703,82,339,228
2012,65 +,2953,20,1078,393,718,15,0,252,226,49,75,127
2011,< 1 Year,,,,,,,,,,,,
2011,1-5 Years,173,77,0,13,2,1,0,60,11,0,1,8
2011,6-10 Years,130,35,2,34,0,1,0,33,6,0,9,10
2011,11-17 Years,454,110,0,145,6,5,0,143,10,0,12,23
2011,18-34 Years,2012,111,96,860,263,7,0,277,43,29,211,115
2011,35-49 Years,4417,63,751,1215,923,15,0,400,442,59,404,145
2011,50-64 Years,6679,47,2164,1020,1353,24,0,550,788,104,337,292
2011,65 +,2951,17,1063,343,743,17,0,267,217,60,77,147
2010,< 1 Year,1,0,0,0,0,0,0,1,0,0,0,0
2010,1-5 Years,158,54,0,14,0,4,0,66,8,0,2,10
2010,6-10 Years,144,40,0,45,1,2,0,37,5,0,5,9
2010,11-17 Years,445,98,2,155,8,4,0,118,10,4,20,26
2010,18-34 Years,2167,98,123,959,257,4,0,331,41,26,228,100
2010,35-49 Years,4485,63,761,1241,999,9,0,345,420,70,429,148
2010,50-64 Years,6686,38,2157,1059,1334,20,0,540,824,121,338,255
2010,65 +,2814,13,936,374,748,13,0,238,208,74,75,135
2009,< 1 Year,4,1,0,0,0,0,0,3,0,0,0,0
2009,1-5 Years,179,46,0,24,2,1,0,79,14,1,0,12
2009,6-10 Years,156,62,0,27,3,5,0,35,6,2,5,11
2009,11-17 Years,528,118,1,143,16,2,0,154,10,7,33,44
2009,18-34 Years,2205,126,141,949,311,2,0,276,34,33,226,107
2009,35-49 Years,4544,75,774,1263,986,11,0,392,431,93,371,148
2009,50-64 Years,6552,29,2067,1026,1330,21,0,570,776,142,329,262
2009,65 +,2661,22,880,287,733,20,0,257,219,57,65,121
2008,< 1 Year,1,0,0,0,0,0,0,1,0,0,0,0
2008,1-5 Years,137,46,0,13,0,3,0,58,9,0,2,6
2008,6-10 Years,149,58,0,28,0,1,0,40,4,0,7,11
2008,11-17 Years,486,89,0,163,5,1,0,142,8,2,26,50
2008,18-34 Years,2254,119,136,905,336,1,0,357,42,44,200,114
2008,35-49 Years,4460,58,764,1219,933,10,0,423,467,89,346,151
2008,50-64 Years,6517,37,2074,977,1324,21,0,626,747,143,295,273
2008,65 +,2517,7,840,309,658,15,0,272,152,60,72,132
2007,< 1 Year,2,1,0,0,0,0,0,1,0,0,0,0
2007,1-5 Years,162,54,0,11,0,2,0,76,5,1,0,13
2007,6-10 Years,141,34,0,32,0,0,0,52,5,0,6,12
2007,11-17 Years,491,89,0,168,8,2,0,140,7,6,31,40
2007,18-34 Years,2265,107,137,892,356,4,1,350,59,39,210,110
2007,35-49 Years,4677,68,787,1219,989,8,1,495,469,101,371,169
2007,50-64 Years,6519,26,2006,986,1310,19,3,735,730,141,305,258
2007,65 +,2377,13,778,281,631,15,1,240,185,66,46,121
2006,< 1 Year,7,4,0,0,0,0,0,3,0,0,0,0
2006,1-5 Years,163,47,0,18,0,3,0,66,8,1,3,17
2006,6-10 Years,138,29,0,39,1,4,0,48,6,1,4,6
2006,11-17 Years,584,124,0,190,13,3,0,160,17,3,34,40
2006,18-34 Years,2521,115,156,983,345,7,0,396,52,45,276,146
2006,35-49 Years,4771,61,788,1244,981,11,0,535,431,96,450,174
2006,50-64 Years,6523,35,1882,1027,1342,19,0,723,758,162,322,253
2006,65 +,2388,7,716,321,626,19,0,280,178,71,61,109
2005,< 1 Year,4,1,0,0,0,0,0,2,0,0,0,1
2005,1-5 Years,155,56,0,22,1,2,0,48,12,2,3,9
2005,6-10 Years,155,41,0,38,3,1,0,53,6,1,2,10
2005,11-17 Years,578,128,2,197,4,2,0,146,12,6,34,47
2005,18-34 Years,2492,79,165,995,345,5,1,409,49,70,223,151
2005,35-49 Years,4751,66,816,1186,860,10,0,620,455,125,437,176
2005,50-64 Years,6167,22,1872,936,1108,17,0,702,776,177,322,235
2005,65 +,2183,9,670,268,555,15,0,287,141,73,40,125
2004,< 1 Year,2,1,0,0,0,0,0,0,1,0,0,0
2004,1-5 Years,152,59,0,13,0,5,0,49,6,1,2,17
2004,6-10 Years,130,36,0,43,1,0,0,26,6,1,4,13
2004,11-17 Years,479,91,0,172,4,0,0,107,20,4,32,49
2004,18-34 Years,2671,109,219,1070,339,3,0,401,36,77,276,141
2004,35-49 Years,4834,69,881,1228,850,10,0,509,428,171,472,216
2004,50-64 Years,5882,31,1782,954,1031,16,0,670,675,222,275,226
2004,65 +,1857,12,569,239,444,14,0,226,126,88,47,92
2003,< 1 Year,,,,,,,,,,,,
2003,1-5 Years,155,70,0,14,0,1,0,43,8,0,6,13
2003,6-10 Years,149,52,0,41,0,1,0,27,4,0,8,16
2003,11-17 Years,506,119,1,171,6,2,0,112,14,3,41,37
2003,18-34 Years,2514,108,195,941,266,5,0,420,48,89,302,140
2003,35-49 Years,4644,59,811,1137,702,9,0,573,469,186,496,202
2003,50-64 Years,5483,24,1578,890,894,24,0,631,670,241,309,222
2003,65 +,1687,12,477,246,343,9,0,240,135,90,49,86
2002,< 1 Year,5,1,0,0,0,0,0,0,2,0,0,2
2002,1-5 Years,141,52,1,18,1,2,0,44,10,0,2,11
2002,6-10 Years,157,49,0,42,0,4,0,35,4,1,8,14
2002,11-17 Years,465,104,1,134,6,1,0,87,5,5,74,48
2002,18-34 Years,2573,95,205,948,251,4,0,367,42,98,426,137
