,Transplant Year,Age Group,All Donor Types,Deceased Donor,Living Donor
0,2021,< 1 Year,257,223,34
1,2021,1-5 Years,511,404,107
2,2021,6-10 Years,288,240,48
3,2021,11-17 Years,834,712,122
4,2021,18-34 Years,4407,3373,1034
5,2021,35-49 Years,9453,7764,1689
6,2021,50-64 Years,16711,14450,2261
7,2021,65 +,8895,7648,1247
9,2020,< 1 Year,280,261,19
10,2020,1-5 Years,477,367,110
11,2020,6-10 Years,274,232,42
12,2020,11-17 Years,735,618,117
13,2020,18-34 Years,3964,3096,868
14,2020,35-49 Years,8719,7303,1416
15,2020,50-64 Years,15897,13841,2056
16,2020,65 +,8690,7592,1098
18,2019,< 1 Year,300,266,34
19,2019,1-5 Years,505,397,108
20,2019,6-10 Years,347,295,52
21,2019,11-17 Years,771,645,126
22,2019,18-34 Years,4174,2957,1217
23,2019,35-49 Years,8713,6880,1833
24,2019,50-64 Years,16294,13656,2638
25,2019,65 +,8615,7226,1389
27,2018,< 1 Year,278,257,21
28,2018,1-5 Years,537,425,112
29,2018,6-10 Years,331,274,57
30,2018,11-17 Years,749,603,146
31,2018,18-34 Years,3800,2736,1064
32,2018,35-49 Years,8057,6267,1790
33,2018,50-64 Years,15005,12542,2463
34,2018,65 +,7773,6577,1196
36,2017,< 1 Year,249,222,27
37,2017,1-5 Years,575,470,105
38,2017,6-10 Years,292,238,54
39,2017,11-17 Years,783,662,121
40,2017,18-34 Years,3695,2710,985
41,2017,35-49 Years,7785,6137,1648
42,2017,50-64 Years,14643,12369,2274
43,2017,65 +,6748,5780,968
45,2016,< 1 Year,293,267,26
46,2016,1-5 Years,543,448,95
47,2016,6-10 Years,302,257,45
48,2016,11-17 Years,740,594,146
49,2016,18-34 Years,3744,2754,990
50,2016,35-49 Years,7526,5935,1591
51,2016,50-64 Years,14242,12091,2151
52,2016,65 +,6220,5284,936
54,2015,< 1 Year,256,230,26
55,2015,1-5 Years,605,497,108
56,2015,6-10 Years,332,286,46
57,2015,11-17 Years,707,566,141
58,2015,18-34 Years,3628,2581,1047
59,2015,35-49 Years,7175,5597,1578
60,2015,50-64 Years,12917,10755,2162
61,2015,65 +,5354,4473,881
