,Transplant Year,Age Group,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
1,2021,< 1 Year,257,130,52,49,0,11,4,0,11
2,2021,1-5 Years,511,272,94,95,0,36,1,0,13
3,2021,6-10 Years,288,142,39,88,0,11,2,1,5
4,2021,11-17 Years,834,383,145,235,0,38,10,4,19
5,2021,18-34 Years,4407,1884,1054,1158,0,217,32,24,38
6,2021,35-49 Years,9453,4172,2559,1897,0,604,97,45,79
7,2021,50-64 Years,16711,8758,3814,2851,0,996,129,57,106
8,2021,65 +,8895,5613,1495,1127,0,554,47,23,36
10,2020,< 1 Year,280,131,55,73,0,15,2,1,3
11,2020,1-5 Years,477,224,93,109,0,28,5,2,16
12,2020,6-10 Years,274,123,55,73,0,16,2,0,5
13,2020,11-17 Years,735,343,149,184,0,38,8,3,10
14,2020,18-34 Years,3964,1833,902,945,0,204,28,22,30
15,2020,35-49 Years,8719,3934,2341,1648,0,594,89,36,77
16,2020,50-64 Years,15897,8732,3446,2611,0,848,103,56,101
17,2020,65 +,8690,5668,1376,1038,0,494,44,32,38
19,2019,< 1 Year,300,145,54,72,0,19,1,1,8
20,2019,1-5 Years,505,261,78,125,0,21,5,4,11
21,2019,6-10 Years,347,178,56,92,0,16,1,2,2
22,2019,11-17 Years,771,399,156,175,0,17,6,4,14
23,2019,18-34 Years,4174,1960,921,976,0,214,35,20,48
24,2019,35-49 Years,8713,4004,2277,1673,0,564,70,32,93
25,2019,50-64 Years,16294,9086,3413,2659,0,870,120,46,100
26,2019,65 +,8615,5606,1377,1039,0,501,33,23,36
28,2018,< 1 Year,278,122,51,67,0,22,3,4,9
29,2018,1-5 Years,537,285,87,126,0,25,5,3,6
30,2018,6-10 Years,331,163,57,84,0,15,1,1,10
31,2018,11-17 Years,749,358,137,201,0,35,1,6,11
32,2018,18-34 Years,3800,1854,778,898,0,198,31,7,34
33,2018,35-49 Years,8057,3781,2134,1454,0,517,69,35,67
34,2018,50-64 Years,15005,8544,3053,2298,0,823,129,56,102
35,2018,65 +,7773,5029,1244,956,0,449,45,12,38
37,2017,< 1 Year,249,119,45,57,0,14,4,3,7
38,2017,1-5 Years,575,294,95,132,0,32,2,4,16
39,2017,6-10 Years,292,155,55,66,0,9,3,0,4
40,2017,11-17 Years,783,380,148,202,0,30,5,5,13
41,2017,18-34 Years,3695,1871,786,775,0,192,25,15,31
42,2017,35-49 Years,7785,3723,2083,1352,0,478,77,23,49
43,2017,50-64 Years,14643,8537,3000,2127,0,749,119,44,67
44,2017,65 +,6748,4448,1074,773,0,385,34,17,17
46,2016,< 1 Year,293,133,49,75,0,19,3,1,13
47,2016,1-5 Years,543,266,97,133,0,33,3,2,9
48,2016,6-10 Years,302,156,57,64,0,16,1,2,6
49,2016,11-17 Years,740,383,126,190,0,26,4,5,6
50,2016,18-34 Years,3744,1866,839,795,0,178,19,16,31
51,2016,35-49 Years,7526,3641,1997,1306,0,427,62,34,59
52,2016,50-64 Years,14242,8260,2881,2183,0,701,110,49,58
53,2016,65 +,6220,4094,1015,702,0,338,28,14,29
55,2015,< 1 Year,256,136,39,58,0,12,2,2,7
56,2015,1-5 Years,605,311,93,147,0,28,12,5,9
57,2015,6-10 Years,332,171,57,80,0,15,3,2,4
58,2015,11-17 Years,707,364,126,164,0,41,1,2,9
59,2015,18-34 Years,3628,1760,814,783,0,199,24,22,26
60,2015,35-49 Years,7175,3388,2038,1187,0,424,64,39,35
61,2015,50-64 Years,12917,7538,2726,1843,0,605,119,36,50
62,2015,65 +,5354,3506,867,600,0,326,31,11,13
64,2014,< 1 Year,280,150,46,68,0,6,4,0,6
65,2014,1-5 Years,503,251,89,112,0,30,5,1,15
66,2014,6-10 Years,284,148,50,62,0,17,2,3,2
67,2014,11-17 Years,728,392,137,153,0,24,8,3,11
68,2014,18-34 Years,3149,1683,659,612,0,148,22,13,12
69,2014,35-49 Years,6412,3264,1666,1002,1,374,55,28,22
70,2014,50-64 Years,12790,7813,2448,1669,0,659,106,45,50
71,2014,65 +,5394,3612,851,594,0,284,30,7,16
73,2013,< 1 Year,260,135,38,71,0,10,1,2,3
74,2013,1-5 Years,545,292,78,131,0,26,5,6,7
75,2013,6-10 Years,295,149,55,75,0,12,1,0,3
76,2013,11-17 Years,718,368,155,159,0,19,7,3,7
77,2013,18-34 Years,3081,1653,687,550,0,149,17,8,17
78,2013,35-49 Years,6310,3266,1636,985,1,326,45,25,26
79,2013,50-64 Years,12677,7771,2416,1708,0,619,86,43,34
80,2013,65 +,5070,3490,737,507,0,278,28,19,11
82,2012,< 1 Year,277,159,45,51,0,17,0,1,4
83,2012,1-5 Years,519,285,93,108,0,21,3,1,8
84,2012,6-10 Years,281,143,49,66,0,18,1,1,3
85,2012,11-17 Years,696,374,112,174,1,19,9,0,7
86,2012,18-34 Years,3105,1642,682,577,1,159,20,8,16
87,2012,35-49 Years,6390,3327,1588,1017,3,353,55,24,23
88,2012,50-64 Years,12156,7577,2346,1545,1,547,81,26,33
89,2012,65 +,4635,3216,671,440,0,266,24,8,10
91,2011,< 1 Year,281,171,35,47,0,13,7,2,6
92,2011,1-5 Years,514,274,94,111,4,19,1,3,8
93,2011,6-10 Years,273,153,48,57,0,13,1,1,0
