,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCC_A10_C,RCC_A17_C,RCC_A2_C,RCC_A34_C,RCC_A49_C,RCC_A64_C,RCC_A65P_C,RCC_AU_C,RCC_BAB_C,RCC_BA_C,RCC_BB_C,RCC_BO_C,RCC_BMI20_C,RCC_BMI25_C,RCC_BMI30_C,RCC_BMI31P_C,RCC_BMINR_C,RCC_BU_C,RCC_GF_C,RCC_GM_C,RCC_GU_C,RCC_ICU_C,RCC_HOSPNR_C,RCC_HOSP_C,RCC_PTXN_C,RCC_PTXU_C,RCC_PTXY_C,RCC_NOTHOSP_C,RCC_N_C,YEAR,MONTH,D_OR_L
0,Children's of Alabama (ALCH) , ALCH , TX1 , 2015/06/16 , Kidney ,20.0,53.3,6.7,20.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,40.0,33.3,46.7,6.7,13.3,0.0,0.0,13.3,86.7,0.0,0.0,0.0,6.7,93.3,0.0,6.7,93.3,15,2015,6,DECEASED
1,University of Alabama Hospital (ALUA) , ALUA , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,11.3,25.8,41.9,21.0,0.0,2.4,30.6,17.7,49.2,8.1,21.8,37.9,29.8,2.4,0.0,41.1,58.9,0.0,1.6,0.0,0.8,84.7,0.0,15.3,97.6,124,2015,6,DECEASED
2,Baptist Medical Center (ARBH) , ARBH , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,0.0,42.9,38.1,19.0,0.0,14.3,47.6,9.5,28.6,9.5,19.0,47.6,23.8,0.0,0.0,33.3,66.7,0.0,0.0,0.0,19.0,95.2,0.0,4.8,81.0,21,2015,6,DECEASED
3,Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2015/06/16 , Kidney ,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,83.3,50.0,16.7,16.7,16.7,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,83.3,0.0,16.7,100.0,6,2015,6,DECEASED
4,UAMS Medical Center (ARUA) , ARUA , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,30.0,26.7,30.0,13.3,0.0,6.7,40.0,10.0,43.3,3.3,30.0,43.3,23.3,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,90.0,0.0,10.0,100.0,30,2015,6,DECEASED
5,Phoenix Children's Hospital (AZCH) , AZCH , TX1 , 2015/06/16 , Kidney ,50.0,16.7,0.0,33.3,0.0,0.0,0.0,0.0,16.7,33.3,0.0,50.0,66.7,33.3,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,83.3,0.0,16.7,100.0,6,2015,6,DECEASED
6,Banner Good Samaritan Medical Center (AZGS) , AZGS , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,3.3,22.2,52.2,22.2,0.0,2.2,37.8,10.0,50.0,5.6,30.0,35.6,28.9,0.0,0.0,45.6,54.4,0.0,1.1,0.0,1.1,91.1,0.0,8.9,97.8,90,2015,6,DECEASED
7,Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,7.2,22.7,41.4,28.7,0.0,3.9,48.1,7.7,40.3,8.3,29.3,28.7,33.7,0.0,0.0,44.8,55.2,0.0,1.1,3.3,0.6,89.5,0.0,10.5,95.0,181,2015,6,DECEASED
8,Banner University Medical Center-Tucson (AZUA) , AZUA , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,8.0,16.0,48.0,28.0,0.0,0.0,32.0,8.0,60.0,12.0,32.0,16.0,36.0,4.0,0.0,64.0,36.0,0.0,0.0,12.0,0.0,92.0,0.0,8.0,88.0,25,2015,6,DECEASED
9,Rady Children's Hospital and Health Center (CACH) , CACH , TX1 , 2015/06/16 , Kidney ,50.0,37.5,0.0,12.5,0.0,0.0,0.0,0.0,12.5,37.5,12.5,37.5,62.5,25.0,12.5,0.0,0.0,0.0,62.5,37.5,0.0,0.0,0.0,0.0,87.5,0.0,12.5,100.0,8,2015,6,DECEASED
10,Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2015/06/16 , Kidney ,26.3,57.9,0.0,15.8,0.0,0.0,0.0,0.0,5.3,21.1,5.3,68.4,57.9,21.1,10.5,10.5,0.0,0.0,47.4,52.6,0.0,0.0,0.0,0.0,89.5,0.0,10.5,100.0,19,2015,6,DECEASED
11,Cedars-Sinai Medical Center (CACS) , CACS , TX1 , 2015/06/16 , Kidney ,0.0,1.8,0.0,7.9,37.7,43.9,8.8,0.0,5.3,34.2,14.9,45.6,15.8,39.5,24.6,20.2,0.0,0.0,45.6,54.4,0.0,5.3,0.0,1.8,67.5,0.0,32.5,93.0,114,2015,6,DECEASED
12,Scripps Green Hospital (CAGH) , CAGH , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,4.5,22.7,45.5,27.3,0.0,4.5,36.4,6.8,52.3,15.9,34.1,34.1,15.9,0.0,0.0,36.4,63.6,0.0,4.5,0.0,0.0,90.9,0.0,9.1,95.5,44,2015,6,DECEASED
13,University of California Irvine Medical Center (CAIM) , CAIM , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,22.6,35.5,25.8,16.1,0.0,0.0,41.9,3.2,54.8,3.2,32.3,32.3,32.3,0.0,0.0,38.7,61.3,0.0,0.0,0.0,0.0,83.9,0.0,16.1,100.0,31,2015,6,DECEASED
14,Harbor UCLA Medical Center (CALA) , CALA , TX1 , 2015/06/16 , Kidney ,0.0,0.0,0.0,24.0,40.0,24.0,12.0,0.0,8.0,20.0,28.0,44.0,16.0,60.0,20.0,4.0,0.0,0.0,44.0,56.0,0.0,0.0,0.0,0.0,92.0,0.0,8.0,100.0,25,2015,6,DECEASED
15,Loma Linda University Medical Center (CALL) , CALL , TX1 , 2015/06/16 , Kidney ,4.3,10.1,0.0,11.6,21.7,34.8,17.4,0.0,5.8,26.1,17.4,50.7,17.4,36.2,24.6,21.7,0.0,0.0,40.6,59.4,0.0,2.9,0.0,1.4,89.9,0.0,10.1,95.7,69,2015,6,DECEASED
16,Lucile Salter Packard Children's Hospital at Stanford (CAPC) , CAPC , TX1 , 2015/06/16 , Kidney ,44.0,36.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,32.0,72.0,20.0,4.0,4.0,0.0,0.0,36.0,64.0,0.0,0.0,0.0,8.0,88.0,0.0,12.0,92.0,25,2015,6,DECEASED
