,ENTIRE_NAME,CTR_CD,CTR_TY,RELEASE_DATE,ORG,RCL_A10_C,RCL_A17_C,RCL_A2_C,RCL_A34_C,RCL_A49_C,RCL_A64_C,RCL_A65P_C,RCL_AU_C,RCL_BAB_C,RCL_BA_C,RCL_BB_C,RCL_BO_C,RCL_BMI20_C,RCL_BMI25_C,RCL_BMI30_C,RCL_BMI31P_C,RCL_BMINR_C,RCL_BU_C,RCL_GF_C,RCL_GM_C,RCL_GU_C,RCL_ICU_C,RCL_HOSPNR_C,RCL_HOSP_C,RCL_PTXN_C,RCL_PTXU_C,RCL_PTXY_C,RCL_NOTHOSP_C,RCL_N_C,YEAR,MONTH,D_OR_L
0,University of Alabama Hospital (ALUA) , ALUA , TX1 , 2012/07/13 , Kidney ,2.8,2.8,1.9,14.2,29.2,35.8,13.2,0.0,3.8,42.5,8.5,45.3,7.5,24.5,30.2,34.0,3.8,0.0,46.2,53.8,0.0,0.9,0.9,0.0,85.8,0.0,14.2,98.1,106,2012.0,7.0,LIVING
1,Baptist Medical Center (ARBH) , ARBH , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,20.0,20.0,40.0,20.0,0.0,0.0,0.0,20.0,80.0,20.0,20.0,40.0,20.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,100.0,5,2012.0,7.0,LIVING
2,Arkansas Children's Hospital (ARCH) , ARCH , TX1 , 2012/07/13 , Kidney ,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,2012.0,7.0,LIVING
3,UAMS Medical Center (ARUA) , ARUA , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,33.3,0.0,44.4,22.2,0.0,0.0,66.7,11.1,22.2,11.1,33.3,22.2,33.3,0.0,0.0,11.1,88.9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,9,2012.0,7.0,LIVING
4,Phoenix Children's Hospital (AZCH) , AZCH , TX1 , 2012/07/13 , Kidney ,0.0,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,66.7,66.7,33.3,0.0,0.0,0.0,0.0,33.3,66.7,0.0,0.0,0.0,33.3,100.0,0.0,0.0,66.7,3,2012.0,7.0,LIVING
5,Banner Good Samaritan Medical Center (AZGS) , AZGS , TX1 , 2012/07/13 , Kidney ,0.0,2.6,0.0,23.1,30.8,33.3,10.3,0.0,0.0,43.6,12.8,43.6,20.5,28.2,25.6,25.6,0.0,0.0,33.3,66.7,0.0,0.0,0.0,0.0,84.6,0.0,15.4,100.0,39,2012.0,7.0,LIVING
6,Mayo Clinic Hospital (AZMC) , AZMC , TX1 , 2012/07/13 , Kidney ,0.0,0.0,0.0,12.4,22.1,45.1,20.4,0.0,3.5,40.7,5.3,50.4,8.8,23.0,25.7,42.5,0.0,0.0,34.5,65.5,0.0,0.0,0.0,0.0,92.0,0.0,8.0,100.0,113,2012.0,7.0,LIVING
7,"University Medical Center, Univ of Arizona (AZUA) ", AZUA , TX1 , 2012/07/13 , Kidney ,3.8,3.8,0.0,3.8,34.6,38.5,15.4,0.0,7.7,26.9,11.5,53.8,11.5,23.1,26.9,34.6,3.8,0.0,46.2,53.8,0.0,0.0,0.0,0.0,96.2,0.0,3.8,100.0,26,2012.0,7.0,LIVING
8,Rady Children's Hospital and Health Center (CACH) , CACH , TX1 , 2012/07/13 , Kidney ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,2012.0,7.0,LIVING
9,Childrens Hospital Los Angeles (CACL) , CACL , TX1 , 2012/07/13 , Kidney ,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,50.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,100.0,4,2012.0,7.0,LIVING
