,Transplant Year,Age Group,N,Graft_Survival_Rate_1 ,Patient_Survival_Rate_1
0,2021,<1 Year,0.0,0.0,0.0
1,2021,1-5 Years,178.0,98.3,99.42
2,2021,6-10 Years,127.0,97.6,100.0
3,2021,11-17 Years,444.0,97.49,99.77
4,2021,18-34,2428.0,97.39,99.36
5,2021,35-49,5159.0,95.89,98.07
6,2021,50-64,8016.0,93.24,95.59
7,2021,65+,4728.0,90.54,92.68
8,2020,<1 Year,,,
9,2020,1-5 Years,179.0,96.06,97.71
10,2020,6-10 Years,122.0,99.18,100.0
11,2020,11-17 Years,356.0,98.31,99.72
12,2020,18-34,2194.0,97.02,98.98
13,2020,35-49,4630.0,96.42,98.08
14,2020,50-64,7557.0,93.34,95.27
15,2020,65+,4540.0,90.8,92.79
16,2019,<1 Year,,,
17,2019,1-5 Years,159.0,96.84,98.73
18,2019,6-10 Years,140.0,97.12,99.29
19,2019,11-17 Years,385.0,97.14,99.48
20,2019,18-34,2238.0,97.62,99.64
21,2019,35-49,4712.0,97.08,98.78
22,2019,50-64,7777.0,95.1,96.98
23,2019,65+,4644.0,92.9,94.86
24,2018,<1 Year,,,
25,2018,1-5 Years,163.0,98.16,99.39
26,2018,6-10 Years,145.0,100.0,100.0
27,2018,11-17 Years,378.0,98.14,99.46
28,2018,18-34,2064.0,97.18,99.46
29,2018,35-49,4365.0,97.08,99.0
30,2018,50-64,7005.0,95.79,97.6
31,2018,65+,3979.0,93.82,95.69
32,2017,<1 Year,,,
33,2017,1-5 Years,175.0,97.71,99.43
34,2017,6-10 Years,113.0,99.12,100.0
35,2017,11-17 Years,370.0,98.37,99.73
36,2017,18-34,1949.0,98.25,99.64
37,2017,35-49,4170.0,97.45,98.96
38,2017,50-64,6620.0,95.79,97.6
39,2017,65+,3289.0,93.51,95.19
40,2016,<1 Year,,,
41,2016,1-5 Years,152.0,96.7,98.68
42,2016,6-10 Years,124.0,95.96,99.19
43,2016,11-17 Years,382.0,99.21,99.74
44,2016,18-34,1937.0,97.41,99.74
45,2016,35-49,3990.0,97.01,99.02
