Transplant Year,Age Group,0-20,21-34,35-85,86-100,Unknown
2023,< 1 Year,0,0,0,0,0
2023,1-5 Years,53,9,3,0,35
2023,6-10 Years,48,7,1,0,21
2023,11-17 Years,118,36,1,0,57
2023,18-34 Years,610,135,203,4,451
2023,35-49 Years,911,475,991,26,771
2023,50-64 Years,455,803,"2,648",268,"1,115"
2023,65 +,177,361,"1,677",462,622
2022,< 1 Year,0,1,0,0,0
2022,1-5 Years,60,19,2,0,67
2022,6-10 Years,80,9,2,0,31
2022,11-17 Years,270,51,6,0,105
2022,18-34 Years,"1,218",239,466,17,901
2022,35-49 Years,"1,915",814,"1,872",52,"1,542"
2022,50-64 Years,818,"1,501","5,017",464,"2,009"
2022,65 +,268,646,"3,038",789,"1,211"
2021,< 1 Year,0,0,0,0,0
2021,1-5 Years,82,20,7,0,75
2021,6-10 Years,74,20,3,0,41
2021,11-17 Years,294,76,9,0,118
2021,18-34 Years,"1,172",285,537,16,965
2021,35-49 Years,"1,613",741,"2,107",72,"1,582"
2021,50-64 Years,757,"1,286","4,832",556,"2,061"
2021,65 +,232,563,"2,622",721,"1,131"
2020,< 1 Year,0,0,0,0,0
2020,1-5 Years,87,18,5,0,74
2020,6-10 Years,70,20,2,0,37
2020,11-17 Years,206,71,9,0,111
2020,18-34 Years,"1,045",244,527,9,814
2020,35-49 Years,"1,452",724,"1,947",71,"1,333"
2020,50-64 Years,685,"1,246","4,498",594,"1,872"
2020,65 +,253,554,"2,557",689,993
2019,< 1 Year,0,0,0,0,0
2019,1-5 Years,58,23,6,0,77
2019,6-10 Years,71,35,6,0,44
2019,11-17 Years,227,78,15,0,120
2019,18-34 Years,820,277,483,13,"1,153"
2019,35-49 Years,"1,187",717,"1,876",86,"1,758"
2019,50-64 Years,573,"1,134","4,338",668,"2,429"
2019,65 +,191,466,"2,421",763,"1,288"
2018,< 1 Year,0,0,0,0,0
2018,1-5 Years,63,14,8,0,82
2018,6-10 Years,81,20,5,0,54
2018,11-17 Years,201,77,12,0,138
2018,18-34 Years,817,230,421,11,"1,030"
2018,35-49 Years,"1,110",577,"1,751",79,"1,708"
2018,50-64 Years,527,914,"3,908",596,"2,314"
2018,65 +,157,409,"2,039",698,"1,116"
2017,< 1 Year,0,0,0,0,0
2017,1-5 Years,77,21,10,0,75
2017,6-10 Years,53,24,6,0,48
2017,11-17 Years,221,87,12,0,112
2017,18-34 Years,793,237,432,5,947
2017,35-49 Years,"1,172",580,"1,679",66,"1,589"
2017,50-64 Years,564,915,"3,799",526,"2,133"
2017,65 +,154,354,"1,770",479,909
2016,< 1 Year,0,0,0,0,0
2016,1-5 Years,63,19,6,0,70
2016,6-10 Years,67,23,4,0,39
2016,11-17 Years,198,80,18,0,141
2016,18-34 Years,810,280,429,14,947
2016,35-49 Years,"1,098",634,"1,606",77,"1,542"
2016,50-64 Years,519,983,"3,430",444,"2,013"
2016,65 +,192,362,"1,626",449,877
2015,< 1 Year,0,0,1,0,1
2015,1-5 Years,60,21,4,1,77
2015,6-10 Years,64,36,6,0,39
2015,11-17 Years,194,68,20,0,126
2015,18-34 Years,810,217,467,9,"1,016"
2015,35-49 Years,"1,048",525,"1,667",70,"1,524"
2015,50-64 Years,524,775,"2,995",413,"2,029"
2015,65 +,183,293,"1,371",399,825
2014,< 1 Year,0,1,0,0,2
2014,1-5 Years,58,18,12,0,63
2014,6-10 Years,50,11,14,0,53
2014,11-17 Years,199,61,47,0,127
2014,18-34 Years,339,226,460,8,"1,035"
2014,35-49 Years,632,518,"1,555",67,"1,591"
2014,50-64 Years,841,757,"2,723",409,"1,915"
2014,65 +,332,320,"1,539",371,754
2013,< 1 Year,0,0,0,0,0
2013,1-5 Years,68,13,18,0,96
2013,6-10 Years,60,13,13,0,61
2013,11-17 Years,199,56,32,0,122
2013,18-34 Years,266,211,507,15,"1,071"
2013,35-49 Years,612,488,"1,373",74,"1,576"
2013,50-64 Years,885,767,"2,720",436,"2,042"
2013,65 +,291,256,"1,336",439,780
2012,< 1 Year,1,0,0,0,1
2012,1-5 Years,38,21,15,0,113
2012,6-10 Years,42,18,8,1,70
2012,11-17 Years,145,41,38,1,205
2012,18-34 Years,242,177,398,20,"1,314"
2012,35-49 Years,506,358,"1,122",71,"2,123"
2012,50-64 Years,683,533,"1,935",293,"3,001"
2012,65 +,233,206,992,268,"1,254"
2011,1-5 Years,0,0,0,0,173
2011,6-10 Years,0,0,0,0,130
2011,11-17 Years,0,0,0,0,454
2011,18-34 Years,0,0,0,0,"2,012"
2011,35-49 Years,0,0,1,0,"4,416"
2011,50-64 Years,0,0,1,1,"6,677"
2011,65 +,0,0,0,1,"2,950"
2010,< 1 Year,0,0,0,0,1
2010,1-5 Years,0,0,0,0,158
2010,6-10 Years,0,0,0,0,144
2010,11-17 Years,0,0,0,0,445
2010,18-34 Years,0,0,0,0,"2,167"
2010,35-49 Years,0,0,1,0,"4,484"
2010,50-64 Years,0,0,0,0,"6,686"
2010,65 +,0,0,0,0,"2,814"
2009,< 1 Year,0,0,0,0,4
2009,1-5 Years,0,0,0,0,179
2009,6-10 Years,0,0,0,0,156
2009,11-17 Years,0,0,0,0,528
2009,18-34 Years,0,0,0,0,"2,205"
2009,35-49 Years,0,0,0,0,"4,544"
2009,50-64 Years,0,0,0,0,"6,552"
2009,65 +,0,0,0,0,"2,661"
2008,< 1 Year,0,0,0,0,1
2008,1-5 Years,0,0,0,0,137
2008,6-10 Years,0,0,0,0,149
2008,11-17 Years,0,0,0,0,486
2008,18-34 Years,0,0,0,0,"2,254"
2008,35-49 Years,0,0,0,0,"4,460"
2008,50-64 Years,0,0,0,0,"6,517"
2008,65 +,0,0,0,0,"2,517"
2007,< 1 Year,0,0,0,0,2
2007,1-5 Years,0,0,0,0,162
2007,6-10 Years,0,0,0,0,141
2007,11-17 Years,0,0,0,0,491
2007,18-34 Years,0,0,0,0,"2,265"
2007,35-49 Years,0,0,0,0,"4,677"
2007,50-64 Years,0,0,0,0,"6,519"
2007,65 +,0,0,0,0,"2,377"
2006,< 1 Year,0,0,0,0,7
2006,1-5 Years,0,0,0,0,163
2006,6-10 Years,0,0,0,0,138
2006,11-17 Years,0,0,0,0,584
2006,18-34 Years,0,0,0,0,"2,521"
2006,35-49 Years,0,0,0,0,"4,771"
2006,50-64 Years,0,0,0,0,"6,523"
2006,65 +,0,0,0,0,"2,388"
2005,< 1 Year,0,0,0,0,4
2005,1-5 Years,0,0,0,0,155
2005,6-10 Years,0,0,0,0,155
2005,11-17 Years,0,0,0,0,578
2005,18-34 Years,0,0,0,0,"2,492"
2005,35-49 Years,0,0,0,0,"4,751"
2005,50-64 Years,0,0,0,0,"6,167"
2005,65 +,0,0,0,0,"2,183"
2004,< 1 Year,0,0,0,0,2
