,,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
To Date,All Recipient Ages,"556,302","14,083","126,930","130,121","93,769","1,882","2,729","68,288","46,362","11,968","34,741","25,429"
,< 1 Year,117,38,0,4,1,0,0,48,10,1,0,15
,1-5 Years,"5,284","2,000",2,543,13,78,20,"1,743",346,23,70,446
,6-10 Years,"5,023","1,509",7,"1,207",30,44,14,"1,289",202,23,200,498
,11-17 Years,"15,572","3,300",29,"5,212",192,62,46,"3,912",351,108,896,"1,464"
,18-34 Years,"90,092","3,784","8,040","36,777","10,258",158,298,"14,003","1,729","1,723","7,819","5,503"
,35-49 Years,"160,863","1,956","30,259","43,246","28,942",296,698,"17,333","14,930","3,900","13,041","6,262"
,50-64 Years,"198,849","1,071","60,987","32,780","36,209",707,"1,050","20,793","22,834","4,456","10,407","7,555"
,65 +,"80,501",425,"27,606","10,352","18,124",537,602,"9,167","5,960","1,734","2,308","3,686"
,Unknown,1,0,0,0,0,0,1,0,0,0,0,0
2023,All Recipient Ages,"13,554",216,"3,167","2,135","1,988",48,"2,475","1,466",801,87,825,346
,1-5 Years,100,29,0,2,0,1,20,36,5,1,0,6
,6-10 Years,77,28,0,13,0,0,11,17,3,0,3,2
,11-17 Years,212,34,0,43,1,0,42,68,2,0,14,8
,18-34 Years,"1,403",59,49,488,135,4,251,218,20,11,134,34
,35-49 Years,"3,174",30,491,643,507,5,621,317,215,27,256,62
,50-64 Years,"5,289",22,"1,516",671,761,16,970,478,380,29,328,118
,65 +,"3,299",14,"1,111",275,584,22,560,332,176,19,90,116
2022,All Recipient Ages,"25,500",517,"7,066","5,004","4,950",127,55,"3,175","1,954",220,"1,569",863
,< 1 Year,1,0,0,0,0,0,0,0,0,0,0,1
