,,,All Recipient States of Residence,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
To Date,All Recipient Ages,,"556,302","8,571",794,"10,582","4,266","61,778","7,139","5,729","1,792","1,522","29,701","14,141","1,934","2,093","26,399","9,917","5,540","4,200","6,325","7,471","1,885","13,854","11,493","18,942","10,383","4,978","10,170","1,400","3,222","3,555","1,770","17,186","3,136","37,954","15,024","1,291","20,983","5,305","5,047","25,899","2,917","1,831","8,166","1,483","10,541","41,489","4,211",880,"15,508","9,658","3,010","10,537",657,"22,043"
,< 1 Year,,117,1,0,0,1,18,1,2,0,0,2,4,0,0,5,1,2,1,0,0,0,0,0,6,11,0,1,0,0,0,2,12,1,4,1,2,1,1,0,2,0,1,1,3,3,3,0,0,2,1,0,5,0,16
,1-5 Years,,"5,284",104,8,92,58,570,64,52,20,12,259,152,15,28,226,117,67,51,71,88,12,93,74,176,131,47,105,10,48,39,11,108,20,295,138,9,178,66,68,240,10,19,78,16,110,423,54,11,132,109,31,113,6,250
,6-10 Years,,"5,023",70,7,90,46,557,60,39,14,16,233,132,10,29,220,99,55,29,60,73,17,102,84,152,98,57,93,9,37,28,15,110,25,360,121,7,171,67,51,207,25,18,79,19,101,438,50,10,120,91,36,89,4,293
,11-17 Years,,"15,572",284,20,247,122,"2,026",220,107,34,32,669,456,45,71,766,303,179,127,193,260,58,280,252,487,278,162,264,43,110,95,54,440,133,"1,002",409,41,528,194,140,582,69,48,231,40,230,"1,253",169,29,379,276,84,258,21,772
,18-34 Years,,"90,092","1,514",115,"1,446",726,"10,391","1,230",842,228,218,"4,121","2,159",298,407,"4,299","1,692",843,723,"1,070","1,327",327,"1,833","1,722","2,966","1,658",864,"1,585",255,494,607,263,"2,449",458,"5,668","2,264",168,"3,165",875,823,"3,602",574,301,"1,238",205,"1,737","7,005",955,135,"2,260","1,541",399,"1,659",120,"6,268"
,35-49 Years,,"160,863","2,735",230,"2,677","1,355","17,354","2,005","1,737",479,449,"7,891","4,223",544,583,"7,617","2,950","1,507","1,174","1,899","2,317",549,"3,953","3,298","5,540","2,928","1,606","2,815",381,916,"1,005",522,"4,686",903,"10,201","4,408",343,"5,959","1,527","1,499","7,081",874,531,"2,417",386,"3,306","12,561","1,150",246,"4,506","2,693",832,"3,064",183,"8,268"
,50-64 Years,,"198,849","3,061",315,"4,067","1,460","22,001","2,420","2,082",678,589,"10,810","5,191",733,664,"9,621","3,397","1,946","1,501","2,208","2,584",672,"5,324","4,256","6,853","3,648","1,716","3,577",487,"1,161","1,245",639,"6,492","1,088","14,049","5,545",500,"7,918","1,840","1,685","9,630","1,046",692,"2,933",562,"3,802","14,770","1,258",290,"5,848","3,336","1,145","3,894",243,"5,377"
,65 +,,"80,501",802,99,"1,963",498,"8,861","1,139",868,339,206,"5,716","1,824",289,311,"3,645","1,358",941,594,824,822,250,"2,269","1,807","2,762","1,631",526,"1,730",215,456,536,264,"2,889",508,"6,375","2,138",221,"3,063",735,781,"4,555",319,221,"1,189",252,"1,252","5,036",575,159,"2,261","1,611",483,"1,455",80,798
,Unknown,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
