,,All Recipient States of Residence,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
To Date,,"944,208","13,118","1,268","17,995","7,394","104,457","12,488","9,524","3,240","2,372","54,516","24,291","2,821","3,408","44,487","19,291","9,398","7,516","12,009","14,074","3,083","22,650","18,794","30,422","17,361","8,509","17,564","2,168","5,922","5,483","3,016","28,548","5,044","61,108","25,618","2,115","36,709","9,543","8,083","46,572","4,576","2,778","13,452","2,325","18,246","71,788","7,430","1,455","25,700","16,587","5,578","19,407","1,226","31,681"
2023,,"23,125",284,35,481,168,"2,692",357,241,69,38,"1,557",686,58,107,"1,184",430,178,155,270,266,83,487,433,682,388,210,376,43,119,188,72,712,100,"1,742",751,62,"1,018",209,197,889,74,57,371,48,493,"1,999",225,23,726,390,146,426,22,108
2022,,"42,889",534,59,908,332,"4,878",706,441,153,103,"2,937","1,361",145,188,"2,134",779,367,331,511,583,120,954,866,"1,130",755,383,760,103,224,358,117,"1,313",219,"3,186","1,289",83,"1,766",413,362,"1,630",151,117,753,86,910,"3,854",413,38,"1,305",717,208,688,61,107
2021,,"41,356",562,64,834,388,"4,704",559,444,127,97,"2,650","1,395",116,175,"2,137",805,342,319,466,601,104,993,726,"1,072",691,367,754,99,248,322,101,"1,156",224,"2,989","1,265",91,"1,811",355,350,"1,570",155,120,708,105,874,"3,851",393,39,"1,292",736,228,639,48,95
2020,,"39,036",517,41,891,304,"4,502",526,419,139,93,"2,798","1,210",99,159,"1,821",770,380,324,516,555,95,925,677,"1,045",552,357,745,76,250,298,114,"1,037",204,"2,345","1,192",59,"1,792",366,362,"1,697",135,110,630,79,858,"3,561",328,45,"1,302",681,222,696,48,89
2019,,"39,719",514,62,994,351,"4,441",587,424,118,113,"2,648","1,197",105,134,"1,848",748,338,343,489,627,99,940,805,"1,142",635,393,757,65,237,214,127,"1,154",221,"2,645","1,211",77,"1,621",359,335,"1,826",161,100,606,100,776,"3,561",303,48,"1,310",727,249,647,44,143
2018,,"36,530",533,28,"1,004",266,"4,170",578,438,131,99,"2,422","1,052",115,148,"1,674",706,338,342,472,503,116,941,761,"1,128",557,346,653,66,219,190,92,"1,046",167,"2,584","1,023",67,"1,418",323,289,"1,678",159,110,529,80,745,"3,102",271,32,"1,079",723,197,608,52,160
2017,,"34,770",517,46,950,232,"3,860",523,345,132,99,"2,065",926,117,141,"1,558",658,318,324,461,541,145,965,726,"1,024",637,337,661,52,234,207,145,"1,018",187,"2,266",969,72,"1,336",346,288,"1,625",136,95,553,93,730,"3,130",305,40,"1,008",652,152,640,46,137
2016,,"33,610",488,40,958,257,"3,854",413,377,129,121,"2,050",959,100,114,"1,464",685,303,279,378,445,104,911,754,"1,093",615,353,634,51,185,215,124,991,220,"2,153",927,79,"1,222",335,292,"1,567",165,108,427,82,675,"3,042",264,34,890,614,179,660,46,185
2015,,"30,974",419,46,742,206,"3,689",396,281,115,94,"1,971",957,100,123,"1,256",590,261,253,368,450,99,931,637,"1,014",596,283,554,73,228,192,112,976,189,"1,945",890,67,"1,058",335,259,"1,460",194,83,436,82,664,"2,683",255,40,807,542,142,600,43,188
