,,To Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Recipient States of Residence,,"944,208","23,125","42,889","41,356","39,036","39,719","36,530","34,770","33,610","30,974","29,540","28,956","28,059","28,553","28,668","28,463","27,967","28,366","28,941","28,119","27,042","25,475","24,916","24,243","23,274","22,030","21,526","20,316","19,765","19,396","18,299","17,631","16,134","15,756","15,001","13,140","12,623"
Alabama,,"13,118",284,534,562,517,514,533,517,488,419,433,430,387,411,403,345,351,385,363,341,278,338,316,308,358,285,324,305,331,348,322,308,266,238,229,191,156
Alaska,,"1,268",35,59,64,41,62,28,46,40,46,46,45,45,36,32,33,27,40,29,40,50,39,36,34,28,36,31,16,27,37,22,33,20,30,18,10,7
Arizona,,"17,995",481,908,834,891,994,"1,004",950,958,742,633,668,601,653,581,555,572,621,530,543,454,393,423,376,322,325,292,259,245,222,257,246,148,133,116,46,19
Arkansas,,"7,394",168,332,388,304,351,266,232,257,206,206,213,235,228,201,231,212,220,256,243,228,180,179,175,184,179,173,188,169,172,173,178,146,120,93,67,41
California,,"104,457","2,692","4,878","4,704","4,502","4,441","4,170","3,860","3,854","3,689","3,405","3,450","3,330","3,253","3,140","2,990","3,155","3,176","3,164","3,092","3,152","3,008","2,852","2,639","2,494","2,303","2,427","2,351","2,303","2,194","2,081","2,116","1,901","1,698","1,099",513,381
Colorado,,"12,488",357,706,559,526,587,578,523,413,396,378,401,368,427,422,372,348,337,348,380,339,308,317,328,309,278,277,268,237,284,230,277,196,162,128,76,48
Connecticut,,"9,524",241,441,444,419,424,438,345,377,281,296,273,300,301,343,301,301,249,240,251,240,235,247,274,255,245,219,215,221,208,165,184,145,156,117,70,63
Delaware,,"3,240",69,153,127,139,118,131,132,129,115,110,132,99,98,111,95,115,99,107,86,85,85,95,84,90,83,96,69,83,71,53,54,53,26,27,10,11
District of Columbia,,"2,372",38,103,97,93,113,99,99,121,94,91,67,67,68,50,78,59,53,65,77,68,55,62,61,56,73,45,41,44,60,54,47,56,52,31,17,18
Florida,,"54,516","1,557","2,937","2,650","2,798","2,648","2,422","2,065","2,050","1,971","1,713","1,610","1,650","1,781","1,791","1,700","1,752","1,724","1,623","1,668","1,543","1,426","1,354","1,513","1,281","1,246","1,179","1,148",986,"1,067",858,725,727,628,403,199,123
Georgia,,"24,291",686,"1,361","1,395","1,210","1,197","1,052",926,959,957,842,857,830,826,818,772,684,699,715,654,701,580,567,575,542,488,467,461,394,421,369,374,313,252,167,83,97
